dataset_index,initialization_index,stream_seed,method,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
0,0,a303ea0000000001,development_response_oracle,3,4.717312063547e-5,6.636485293124e-4,6.712969992343e-4,0.313541667,4.720653544913e-4,5.832394582133e-4,0.234375000
0,0,a303ea0000000002,development_response_oracle,3,5.396352800901e-5,7.073948447302e-4,7.130060227031e-4,0.296294705,5.234626558964e-4,7.324622835678e-4,0.333333333
0,0,a303ea0000000001,evaluation_state_response_comparator,3,4.494975837757e-5,6.427726527979e-4,6.294408455977e-4,0.303952206,4.409506849849e-4,5.659460277011e-4,0.234375000
0,0,a303ea0000000002,evaluation_state_response_comparator,3,4.971076561926e-5,6.775379951120e-4,6.827736727022e-4,0.303677558,5.606371644546e-4,7.694799655364e-4,0.375000000
0,0,a303ea0000000001,gradient_full171,3,4.612511766290e-5,6.506822592370e-4,6.415637065052e-4,0.300214461,5.014008393166e-4,6.801088680201e-4,0.291666667
0,0,a303ea0000000002,gradient_full171,3,5.164087034751e-5,6.911075560724e-4,7.076816657552e-4,0.310232843,5.196497523912e-4,7.369282605474e-4,0.307291667
0,0,a303ea0000000001,hash_placebo_mean,3,5.613459713404e-5,7.321868815269e-4,7.301298488165e-4,0.327113971,4.997862525714e-4,6.324536329956e-4,0.265625000
0,0,a303ea0000000002,hash_placebo_mean,3,6.201436965422e-5,7.671831801292e-4,7.704538231479e-4,0.324623447,5.950436616011e-4,8.462127606181e-4,0.384765625
0,1,a303ea0000000003,development_response_oracle,3,3.150736229642e-5,5.448078285394e-4,5.509095415602e-4,0.304379255,5.168545675739e-4,5.885066288916e-4,0.135416667
0,1,a303ea0000000004,development_response_oracle,3,3.470734058826e-5,5.649161276884e-4,5.661766046112e-4,0.302842695,5.274624719505e-4,5.489138799485e-4,0.067708333
0,1,a303ea0000000003,evaluation_state_response_comparator,3,2.979911380246e-5,5.292222087333e-4,5.242177672853e-4,0.299810061,4.871672701465e-4,5.488064305557e-4,0.109375000
0,1,a303ea0000000004,evaluation_state_response_comparator,3,3.253889980364e-5,5.443555293011e-4,5.409121566895e-4,0.299972957,5.059931716858e-4,5.487359046844e-4,0.114583333
0,1,a303ea0000000003,gradient_full171,3,3.000081346236e-5,5.303755699829e-4,5.273643918452e-4,0.306485509,4.866439906266e-4,5.528889226791e-4,0.114583333
