role,seed,step,action_split,block,left_parameter,right_parameter,left_rank,right_rank,left_delta,right_delta,exact_train_utility
development,8a6d39c17f02b4e5,600,development,1,108,106,0,0,-0.02000000,-0.02000000,-2.823770046234e-5
development,8a6d39c17f02b4e5,600,development,1,108,106,1,1,-0.01000000,-0.01000000,-1.362711191177e-5
development,8a6d39c17f02b4e5,600,development,2,109,105,0,0,-0.02000000,-0.02000000,-6.702480459353e-5
development,8a6d39c17f02b4e5,600,development,2,109,105,1,1,-0.01000000,-0.01000000,-2.786827644741e-5
development,8a6d39c17f02b4e5,600,development,3,110,104,0,1,-0.02000000,-0.01000000,1.308197738581e-6
development,8a6d39c17f02b4e5,600,development,3,110,104,1,0,-0.01000000,-0.02000000,-1.000942065730e-4
development,8a6d39c17f02b4e5,600,development,4,111,103,0,1,0.00000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,4,111,103,1,0,-0.02000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,5,112,102,0,0,0.02000000,-0.02000000,-2.156943082809e-4
development,8a6d39c17f02b4e5,600,development,5,112,102,1,1,0.01000000,-0.01000000,-1.042553558364e-4
development,8a6d39c17f02b4e5,600,development,6,113,101,0,1,0.02000000,-0.01000000,-3.901179879904e-4
development,8a6d39c17f02b4e5,600,development,6,113,101,1,0,0.01000000,-0.02000000,-2.824570983648e-4
development,8a6d39c17f02b4e5,600,development,7,114,100,0,0,0.02000000,-0.02000000,1.984250993701e-4
development,8a6d39c17f02b4e5,600,development,7,114,100,1,1,0.01000000,-0.01000000,9.959129238268e-5
development,8a6d39c17f02b4e5,600,development,8,115,99,0,0,0.00000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,8,115,99,1,1,-0.02000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,9,116,98,0,1,0.02000000,-0.01000000,1.395829021931e-4
development,8a6d39c17f02b4e5,600,development,9,116,98,1,0,0.01000000,-0.02000000,4.242236536811e-5
development,8a6d39c17f02b4e5,600,development,10,117,97,0,1,0.02000000,-0.01000000,-2.928307803813e-4
development,8a6d39c17f02b4e5,600,development,10,117,97,1,0,0.01000000,-0.02000000,-3.798268735409e-4
development,8a6d39c17f02b4e5,600,development,11,118,96,0,0,0.02000000,-0.02000000,-5.286186933517e-6
development,8a6d39c17f02b4e5,600,development,11,118,96,1,1,0.01000000,-0.01000000,2.613911931348e-7
development,8a6d39c17f02b4e5,600,development,12,119,95,0,1,0.00000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,12,119,95,1,0,-0.02000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,13,120,94,0,1,-0.02000000,-0.01000000,-3.762760607060e-4
development,8a6d39c17f02b4e5,600,development,13,120,94,1,0,-0.01000000,-0.02000000,-4.555222985800e-4
development,8a6d39c17f02b4e5,600,development,14,121,93,0,0,-0.02000000,-0.02000000,-1.620985567570e-4
development,8a6d39c17f02b4e5,600,development,14,121,93,1,1,-0.01000000,-0.01000000,-7.158145308495e-5
development,8a6d39c17f02b4e5,600,development,15,122,92,0,0,0.02000000,0.02000000,-2.038342208834e-4
development,8a6d39c17f02b4e5,600,development,15,122,92,1,1,0.01000000,0.01000000,-6.659639620921e-5
development,8a6d39c17f02b4e5,600,development,16,0,91,0,1,-0.02000000,-0.02000000,-6.140582263470e-5
development,8a6d39c17f02b4e5,600,development,16,0,91,1,0,-0.01000000,0.00000000,-2.271309494972e-5
development,8a6d39c17f02b4e5,600,development,17,1,90,0,0,0.02000000,-0.02000000,8.514771616319e-5
development,8a6d39c17f02b4e5,600,development,17,1,90,1,1,0.01000000,-0.01000000,5.326854807208e-5
development,8a6d39c17f02b4e5,600,development,18,2,89,0,0,0.02000000,-0.02000000,-2.081481070491e-4
development,8a6d39c17f02b4e5,600,development,18,2,89,1,1,0.01000000,-0.01000000,-9.462609887123e-5
development,8a6d39c17f02b4e5,600,development,19,3,88,0,0,-0.02000000,0.02000000,3.188041227986e-5
development,8a6d39c17f02b4e5,600,development,19,3,88,1,1,-0.01000000,0.01000000,5.499087274075e-5
development,8a6d39c17f02b4e5,600,development,20,4,87,0,1,0.02000000,-0.02000000,-3.198360500392e-4
development,8a6d39c17f02b4e5,600,development,20,4,87,1,0,0.01000000,0.00000000,-1.514653413324e-4
development,8a6d39c17f02b4e5,600,development,21,5,86,0,0,-0.02000000,0.00000000,2.729582229222e-5
development,8a6d39c17f02b4e5,600,development,21,5,86,1,1,-0.01000000,-0.02000000,1.966332456504e-5
development,8a6d39c17f02b4e5,600,development,22,6,85,0,0,0.02000000,0.00000000,4.848465323448e-6
development,8a6d39c17f02b4e5,600,development,22,6,85,1,1,0.01000000,-0.02000000,6.337960712699e-6
development,8a6d39c17f02b4e5,600,development,23,7,84,0,1,-0.02000000,-0.02000000,-5.773144584964e-5
development,8a6d39c17f02b4e5,600,development,23,7,84,1,0,-0.01000000,0.00000000,-2.819982728397e-5
development,8a6d39c17f02b4e5,600,development,24,8,83,0,0,0.02000000,0.00000000,-2.118740230799e-4
development,8a6d39c17f02b4e5,600,development,24,8,83,1,1,0.01000000,-0.02000000,-7.139084482333e-5
development,8a6d39c17f02b4e5,600,development,25,9,82,0,0,-0.02000000,0.00000000,-6.671063601971e-5
development,8a6d39c17f02b4e5,600,development,25,9,82,1,1,-0.01000000,-0.02000000,-2.950554153358e-5
development,8a6d39c17f02b4e5,600,development,26,10,81,0,0,-0.02000000,0.00000000,-2.004299312830e-4
development,8a6d39c17f02b4e5,600,development,26,10,81,1,1,-0.01000000,-0.02000000,-9.353397035738e-5
development,8a6d39c17f02b4e5,600,development,27,11,80,0,1,-0.02000000,-0.02000000,-1.881339849206e-4
development,8a6d39c17f02b4e5,600,development,27,11,80,1,0,-0.01000000,0.00000000,-9.121870243689e-5
development,8a6d39c17f02b4e5,600,development,28,12,79,0,0,-0.02000000,0.02000000,5.240036989562e-4
development,8a6d39c17f02b4e5,600,development,28,12,79,1,1,-0.01000000,0.01000000,2.598296850920e-4
development,8a6d39c17f02b4e5,600,development,29,13,78,0,0,0.02000000,0.02000000,-8.454857015749e-5
development,8a6d39c17f02b4e5,600,development,29,13,78,1,1,0.01000000,0.01000000,-3.353133797646e-5
development,8a6d39c17f02b4e5,600,development,30,14,77,0,0,0.02000000,0.02000000,4.970220106770e-5
development,8a6d39c17f02b4e5,600,development,30,14,77,1,1,0.01000000,0.01000000,4.394911229610e-5
development,8a6d39c17f02b4e5,600,development,31,15,76,0,0,0.02000000,-0.02000000,1.748533250066e-4
development,8a6d39c17f02b4e5,600,development,31,15,76,1,1,0.01000000,-0.01000000,1.140994354500e-4
development,8a6d39c17f02b4e5,600,development,32,16,75,0,0,0.01000000,-0.02000000,-4.178378731012e-4
development,8a6d39c17f02b4e5,600,development,32,16,75,1,1,0.00500000,-0.01000000,-1.937896013260e-4
development,8a6d39c17f02b4e5,600,development,33,17,74,0,1,0.02000000,-0.01000000,-9.929947555065e-5
development,8a6d39c17f02b4e5,600,development,33,17,74,1,0,0.01000000,-0.02000000,-1.909304410219e-4
development,8a6d39c17f02b4e5,600,development,34,18,73,0,1,-0.02000000,-0.01000000,-5.417814008979e-6
development,8a6d39c17f02b4e5,600,development,34,18,73,1,0,-0.01000000,-0.02000000,1.889156737889e-5
development,8a6d39c17f02b4e5,600,development,35,19,72,0,1,0.02000000,0.01000000,-4.541004818748e-5
development,8a6d39c17f02b4e5,600,development,35,19,72,1,0,0.01000000,0.02000000,-6.534469866892e-5
development,8a6d39c17f02b4e5,600,development,36,20,71,0,0,0.02000000,0.02000000,3.117620944977e-4
development,8a6d39c17f02b4e5,600,development,36,20,71,1,1,0.01000000,0.01000000,2.024633140536e-4
development,8a6d39c17f02b4e5,600,development,37,21,70,0,1,-0.02000000,0.01000000,-5.552607399295e-5
development,8a6d39c17f02b4e5,600,development,37,21,70,1,0,-0.01000000,0.02000000,9.698793292046e-6
development,8a6d39c17f02b4e5,600,development,38,22,69,0,1,-0.02000000,-0.01000000,-1.617831439944e-4
development,8a6d39c17f02b4e5,600,development,38,22,69,1,0,-0.01000000,-0.02000000,-3.703745824168e-5
development,8a6d39c17f02b4e5,600,development,39,23,68,0,1,-0.02000000,-0.01000000,-1.093403770938e-4
development,8a6d39c17f02b4e5,600,development,39,23,68,1,0,-0.01000000,-0.02000000,1.945594885910e-5
development,8a6d39c17f02b4e5,600,development,40,24,67,0,0,-0.02000000,-0.02000000,-1.806840300560e-4
development,8a6d39c17f02b4e5,600,development,40,24,67,1,1,-0.01000000,-0.01000000,-9.015388786793e-5
development,8a6d39c17f02b4e5,600,development,41,25,66,0,0,0.02000000,-0.02000000,-5.584830887528e-6
development,8a6d39c17f02b4e5,600,development,41,25,66,1,1,0.01000000,-0.01000000,-2.720703605519e-6
development,8a6d39c17f02b4e5,600,development,42,26,65,0,1,0.02000000,-0.01000000,1.437962055206e-6
development,8a6d39c17f02b4e5,600,development,42,26,65,1,0,0.01000000,-0.02000000,3.580562770367e-5
development,8a6d39c17f02b4e5,600,development,43,27,64,0,1,0.02000000,-0.01000000,2.008366027439e-5
development,8a6d39c17f02b4e5,600,development,43,27,64,1,0,0.01000000,-0.02000000,3.852136433125e-5
development,8a6d39c17f02b4e5,600,development,44,28,63,0,0,0.02000000,-0.02000000,8.606910705566e-5
development,8a6d39c17f02b4e5,600,development,44,28,63,1,1,0.01000000,-0.01000000,4.350580275059e-5
development,8a6d39c17f02b4e5,600,development,45,29,62,0,0,-0.02000000,-0.01000000,-7.775425910950e-5
development,8a6d39c17f02b4e5,600,development,45,29,62,1,1,-0.01000000,-0.00500000,-3.872998058796e-5
development,8a6d39c17f02b4e5,600,development,46,30,61,0,0,-0.02000000,-0.02000000,9.324401617050e-5
development,8a6d39c17f02b4e5,600,development,46,30,61,1,1,-0.01000000,-0.01000000,4.690016430686e-5
development,8a6d39c17f02b4e5,600,development,47,31,60,0,1,-0.02000000,0.01000000,9.430013597012e-5
development,8a6d39c17f02b4e5,600,development,47,31,60,1,0,-0.01000000,0.02000000,8.527500176569e-5
development,8a6d39c17f02b4e5,600,development,48,32,59,0,1,0.02000000,0.01000000,-1.934946776601e-4
development,8a6d39c17f02b4e5,600,development,48,32,59,1,0,0.01000000,0.02000000,-8.627151692053e-5
development,8a6d39c17f02b4e5,600,development,49,33,58,0,0,-0.02000000,0.02000000,1.871306449175e-4
development,8a6d39c17f02b4e5,600,development,49,33,58,1,1,-0.01000000,0.01000000,9.425418829778e-5
development,8a6d39c17f02b4e5,600,development,50,34,57,0,1,-0.02000000,0.01000000,-2.301310451003e-4
development,8a6d39c17f02b4e5,600,development,50,34,57,1,0,-0.01000000,0.02000000,-9.743310511112e-5
development,8a6d39c17f02b4e5,600,development,51,35,56,0,1,-0.02000000,-0.01000000,-1.011037602439e-4
development,8a6d39c17f02b4e5,600,development,51,35,56,1,0,-0.01000000,-0.02000000,-1.789306552382e-4
development,8a6d39c17f02b4e5,600,development,52,36,55,0,0,-0.02000000,0.00000000,4.752476888825e-5
development,8a6d39c17f02b4e5,600,development,52,36,55,1,1,-0.01000000,-0.02000000,2.405792474747e-5
development,8a6d39c17f02b4e5,600,development,53,37,54,0,0,0.02000000,0.00000000,-1.750451774569e-4
development,8a6d39c17f02b4e5,600,development,53,37,54,1,1,0.01000000,-0.02000000,-8.740462362766e-5
development,8a6d39c17f02b4e5,600,development,54,38,53,0,0,0.02000000,0.00000000,2.341518847970e-4
development,8a6d39c17f02b4e5,600,development,54,38,53,1,1,0.01000000,-0.02000000,1.172690317617e-4
development,8a6d39c17f02b4e5,600,development,55,39,52,0,0,0.02000000,0.00000000,9.475523984293e-5
development,8a6d39c17f02b4e5,600,development,55,39,52,1,1,0.01000000,-0.02000000,4.765950143337e-5
development,8a6d39c17f02b4e5,600,development,56,40,51,0,1,0.00000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,56,40,51,1,0,-0.02000000,0.00000000,-3.395602107048e-6
development,8a6d39c17f02b4e5,600,development,57,41,50,0,0,0.00000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,57,41,50,1,1,-0.02000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,development,58,42,49,0,1,-0.02000000,-0.02000000,-7.464177906513e-5
development,8a6d39c17f02b4e5,600,development,58,42,49,1,0,-0.01000000,0.00000000,-3.589254993130e-5
development,8a6d39c17f02b4e5,600,development,59,43,48,0,0,-0.02000000,0.00000000,-6.500631570816e-6
development,8a6d39c17f02b4e5,600,development,59,43,48,1,1,-0.01000000,-0.02000000,-3.252178430557e-6
development,8a6d39c17f02b4e5,600,development,60,44,47,0,1,-0.02000000,-0.02000000,-7.546196229669e-6
development,8a6d39c17f02b4e5,600,development,60,44,47,1,0,-0.01000000,0.00000000,5.313505880622e-6
development,8a6d39c17f02b4e5,600,development,61,45,46,0,1,0.00000000,-0.01000000,2.359350581571e-8
development,8a6d39c17f02b4e5,600,development,61,45,46,1,0,-0.02000000,-0.02000000,-1.701836822576e-6
development,8a6d39c17f02b4e5,600,evaluation,1,108,106,0,1,-0.02000000,-0.01000000,-4.086208718945e-5
development,8a6d39c17f02b4e5,600,evaluation,1,108,106,1,0,-0.01000000,-0.02000000,-1.002723934107e-6
development,8a6d39c17f02b4e5,600,evaluation,2,109,105,0,1,-0.02000000,-0.01000000,-4.378892481327e-5
development,8a6d39c17f02b4e5,600,evaluation,2,109,105,1,0,-0.01000000,-0.02000000,-4.848651587963e-5
development,8a6d39c17f02b4e5,600,evaluation,3,110,104,0,0,-0.02000000,-0.02000000,-6.926618516445e-5
development,8a6d39c17f02b4e5,600,evaluation,3,110,104,1,1,-0.01000000,-0.01000000,-3.070384263992e-5
development,8a6d39c17f02b4e5,600,evaluation,4,111,103,0,0,0.00000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,4,111,103,1,1,-0.02000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,5,112,102,0,1,0.02000000,-0.01000000,-2.212884464825e-5
development,8a6d39c17f02b4e5,600,evaluation,5,112,102,1,0,0.01000000,-0.02000000,-2.972552028950e-4
development,8a6d39c17f02b4e5,600,evaluation,6,113,101,0,0,0.02000000,-0.02000000,-4.519925860222e-4
development,8a6d39c17f02b4e5,600,evaluation,6,113,101,1,1,0.01000000,-0.01000000,-2.218702138634e-4
development,8a6d39c17f02b4e5,600,evaluation,7,114,100,0,1,0.02000000,-0.01000000,9.362896526000e-5
development,8a6d39c17f02b4e5,600,evaluation,7,114,100,1,0,0.01000000,-0.02000000,2.043868153123e-4
development,8a6d39c17f02b4e5,600,evaluation,8,115,99,0,1,0.00000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,8,115,99,1,0,-0.02000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,9,116,98,0,0,0.02000000,-0.02000000,1.209775582538e-4
development,8a6d39c17f02b4e5,600,evaluation,9,116,98,1,1,0.01000000,-0.01000000,6.102584302425e-5
development,8a6d39c17f02b4e5,600,evaluation,10,117,97,0,0,0.02000000,-0.02000000,-4.522856324911e-4
development,8a6d39c17f02b4e5,600,evaluation,10,117,97,1,1,0.01000000,-0.01000000,-2.216522843810e-4
development,8a6d39c17f02b4e5,600,evaluation,11,118,96,0,1,0.02000000,-0.01000000,-1.530013978481e-4
development,8a6d39c17f02b4e5,600,evaluation,11,118,96,1,0,0.01000000,-0.02000000,1.485478132963e-4
development,8a6d39c17f02b4e5,600,evaluation,12,119,95,0,0,0.00000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,12,119,95,1,1,-0.02000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,13,120,94,0,0,-0.02000000,-0.02000000,-5.843192338943e-4
development,8a6d39c17f02b4e5,600,evaluation,13,120,94,1,1,-0.01000000,-0.01000000,-2.595229598228e-4
development,8a6d39c17f02b4e5,600,evaluation,14,121,93,0,1,-0.02000000,-0.01000000,-1.579597592354e-4
development,8a6d39c17f02b4e5,600,evaluation,14,121,93,1,0,-0.01000000,-0.02000000,-7.737427949905e-5
development,8a6d39c17f02b4e5,600,evaluation,15,122,92,0,1,0.02000000,0.01000000,-2.394057810307e-4
development,8a6d39c17f02b4e5,600,evaluation,15,122,92,1,0,0.01000000,0.02000000,-1.912191510201e-5
development,8a6d39c17f02b4e5,600,evaluation,16,0,91,0,0,-0.02000000,0.00000000,-6.140582263470e-5
development,8a6d39c17f02b4e5,600,evaluation,16,0,91,1,1,-0.01000000,-0.02000000,-2.271309494972e-5
development,8a6d39c17f02b4e5,600,evaluation,17,1,90,0,1,0.02000000,-0.01000000,1.185592263937e-4
development,8a6d39c17f02b4e5,600,evaluation,17,1,90,1,0,0.01000000,-0.02000000,1.996445098484e-5
development,8a6d39c17f02b4e5,600,evaluation,18,2,89,0,1,0.02000000,-0.01000000,-1.024131997838e-4
development,8a6d39c17f02b4e5,600,evaluation,18,2,89,1,0,0.01000000,-0.02000000,-2.001244574785e-4
development,8a6d39c17f02b4e5,600,evaluation,19,3,88,0,1,-0.02000000,0.01000000,7.111703598639e-5
development,8a6d39c17f02b4e5,600,evaluation,19,3,88,1,0,-0.01000000,0.02000000,1.603116652404e-5
development,8a6d39c17f02b4e5,600,evaluation,20,4,87,0,0,0.02000000,0.00000000,-3.198360500392e-4
development,8a6d39c17f02b4e5,600,evaluation,20,4,87,1,1,0.01000000,-0.02000000,-1.514653413324e-4
development,8a6d39c17f02b4e5,600,evaluation,21,5,86,0,1,-0.02000000,-0.02000000,2.729582229222e-5
development,8a6d39c17f02b4e5,600,evaluation,21,5,86,1,0,-0.01000000,0.00000000,1.966332456504e-5
development,8a6d39c17f02b4e5,600,evaluation,22,6,85,0,1,0.02000000,-0.02000000,4.848465323448e-6
development,8a6d39c17f02b4e5,600,evaluation,22,6,85,1,0,0.01000000,0.00000000,6.337960712699e-6
development,8a6d39c17f02b4e5,600,evaluation,23,7,84,0,0,-0.02000000,0.00000000,-5.773144584964e-5
development,8a6d39c17f02b4e5,600,evaluation,23,7,84,1,1,-0.01000000,-0.02000000,-2.819982728397e-5
development,8a6d39c17f02b4e5,600,evaluation,24,8,83,0,1,0.02000000,-0.02000000,-2.118740230799e-4
development,8a6d39c17f02b4e5,600,evaluation,24,8,83,1,0,0.01000000,0.00000000,-7.139084482333e-5
development,8a6d39c17f02b4e5,600,evaluation,25,9,82,0,1,-0.02000000,-0.02000000,-6.671063601971e-5
development,8a6d39c17f02b4e5,600,evaluation,25,9,82,1,0,-0.01000000,0.00000000,-2.950554153358e-5
development,8a6d39c17f02b4e5,600,evaluation,26,10,81,0,1,-0.02000000,-0.02000000,-2.004299312830e-4
development,8a6d39c17f02b4e5,600,evaluation,26,10,81,1,0,-0.01000000,0.00000000,-9.353397035738e-5
development,8a6d39c17f02b4e5,600,evaluation,27,11,80,0,0,-0.02000000,0.00000000,-1.881339849206e-4
development,8a6d39c17f02b4e5,600,evaluation,27,11,80,1,1,-0.01000000,-0.02000000,-9.121870243689e-5
development,8a6d39c17f02b4e5,600,evaluation,28,12,79,0,1,-0.02000000,0.01000000,4.425669612829e-4
development,8a6d39c17f02b4e5,600,evaluation,28,12,79,1,0,-0.01000000,0.02000000,3.412626683712e-4
development,8a6d39c17f02b4e5,600,evaluation,29,13,78,0,1,0.02000000,0.01000000,-1.761795283528e-4
development,8a6d39c17f02b4e5,600,evaluation,29,13,78,1,0,0.01000000,0.02000000,5.861744284630e-5
development,8a6d39c17f02b4e5,600,evaluation,30,14,77,0,1,0.02000000,0.01000000,8.716247975826e-5
development,8a6d39c17f02b4e5,600,evaluation,30,14,77,1,0,0.01000000,0.02000000,1.397977302986e-5
