seed,step,method,panel,candidate_count,utility_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization
96e104bd3c72a85f,600,hash_placebo_00,0,122,3.570447160026e-4,0.269230769,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_00,1,122,2.176872073248e-4,0.201923077,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,2,122,3.176736031033e-4,0.519230769,6.373773212545e-4,6.373773212545e-4,false
96e104bd3c72a85f,600,hash_placebo_00,3,122,2.685916782669e-4,0.278846154,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_00,4,122,2.817377616332e-4,0.394230769,6.088099326007e-4,6.088099326007e-4,false
96e104bd3c72a85f,600,hash_placebo_00,5,122,4.745308087940e-4,0.307692308,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,6,122,3.274660082841e-4,0.173076923,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_00,7,122,2.333394522657e-4,0.240384615,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_00,8,122,2.297595751879e-4,0.326923077,6.088099326007e-4,6.088099326007e-4,false
96e104bd3c72a85f,600,hash_placebo_00,9,122,3.237682723161e-4,0.307692308,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_00,10,122,1.911011007456e-4,0.134615385,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_00,11,122,1.910415301263e-4,0.211538462,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,12,122,3.448531365277e-4,0.288461538,3.527111257426e-4,3.527111257426e-4,false
96e104bd3c72a85f,600,hash_placebo_00,13,122,2.218941671120e-4,0.221153846,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_00,14,122,3.814276847317e-4,0.278846154,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,15,122,3.677577437221e-4,0.278846154,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_00,16,122,2.827883950849e-4,0.346153846,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,17,122,1.669878824207e-4,0.221153846,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,18,122,2.468062358799e-4,0.288461538,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_00,19,122,2.360898630106e-4,0.134615385,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_00,20,122,3.001937291444e-4,0.298076923,0.000000000000e0,0.000000000000e0,false
