method,seed,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
development_response_oracle,205ad7c3918e64fb,3,2.128131907446e-5,3.959335501412e-4,3.961833283189e-4,0.157726735,2.953855315203e-4,3.132223091503e-4,0.015625000
development_response_oracle,3bc9704ea251d68f,3,2.918512895938e-5,4.642470302022e-4,4.401607107563e-4,0.223792473,4.412604764260e-4,6.462789270169e-4,0.145833333
development_response_oracle,5e8f13a2c64970bd,3,2.425047205451e-5,4.297187706021e-4,4.208325340293e-4,0.149717643,2.966798509381e-4,3.096176387013e-4,0.026041667
development_response_oracle,96e104bd3c72a85f,3,2.001231893561e-5,3.840626524356e-4,3.914594013555e-4,0.215568546,4.851962273733e-4,5.713709095592e-4,0.104166667
development_response_oracle,a17c2d48f03695e2,3,2.274895531278e-5,4.063985701892e-4,3.930493267211e-4,0.166100306,4.642678715451e-4,5.055537243000e-4,0.109375000
development_response_oracle,d43c6a107e95b281,3,2.451671649888e-5,4.254018576385e-4,4.214158809179e-4,0.197859986,3.244443735184e-4,4.532495061085e-4,0.078125000
evaluation_state_response_oracle,205ad7c3918e64fb,3,2.007931636650e-5,3.821665526770e-4,3.774335571050e-4,0.145559232,2.983927363402e-4,3.141740121653e-4,0.010416667
evaluation_state_response_oracle,3bc9704ea251d68f,3,2.598458676206e-5,4.367095769146e-4,4.492062444689e-4,0.218578012,4.721459969801e-4,6.472123336039e-4,0.125000000
evaluation_state_response_oracle,5e8f13a2c64970bd,3,2.347815174562e-5,4.211424424507e-4,4.243316129156e-4,0.149296016,3.201551790729e-4,3.301266657824e-4,0.026041667
evaluation_state_response_oracle,96e104bd3c72a85f,3,1.942086677272e-5,3.747892075230e-4,3.712749240397e-4,0.199711927,4.333834889773e-4,4.788499645277e-4,0.062500000
evaluation_state_response_oracle,a17c2d48f03695e2,3,2.037278805852e-5,3.854980477283e-4,3.930170109312e-4,0.171463837,3.896009156961e-4,4.390986662960e-4,0.125000000
evaluation_state_response_oracle,d43c6a107e95b281,3,2.300117081056e-5,4.091741039993e-4,4.167105329126e-4,0.204414070,3.128258720153e-4,3.964051107156e-4,0.057291667
gradient_full123,205ad7c3918e64fb,3,2.046902895038e-5,3.854803237699e-4,3.725830670560e-4,0.145961356,3.425095301471e-4,3.730692609167e-4,0.026041667
gradient_full123,3bc9704ea251d68f,3,2.656210855456e-5,4.406495465076e-4,4.451147739349e-4,0.217899483,4.706676357008e-4,6.424946963269e-4,0.114583333
gradient_full123,5e8f13a2c64970bd,3,2.376501121406e-5,4.244286994172e-4,4.095579689887e-4,0.142666838,3.243411031993e-4,3.405364214662e-4,0.036458333
gradient_full123,96e104bd3c72a85f,3,1.973524092870e-5,3.779204426550e-4,3.874750715734e-4,0.202112209,4.476810487783e-4,5.007625447130e-4,0.078125000
gradient_full123,a17c2d48f03695e2,3,2.167991632589e-5,3.968023231338e-4,3.913159502998e-4,0.174282792,4.748180851948e-4,5.278954873423e-4,0.114583333
gradient_full123,d43c6a107e95b281,3,2.343645533885e-5,4.131473461803e-4,4.185579182598e-4,0.211819679,3.486527911415e-4,4.793456469846e-4,0.078125000
hash_placebo_mean,205ad7c3918e64fb,3,4.137597644450e-5,6.076333864205e-4,6.136038688042e-4,0.246408766,5.002446736467e-4,6.032971516999e-4,0.085937500
hash_placebo_mean,3bc9704ea251d68f,3,5.707332501298e-5,7.080196183275e-4,6.889561865079e-4,0.309919484,5.904443253177e-4,8.488722879629e-4,0.194661458
hash_placebo_mean,5e8f13a2c64970bd,3,5.633881032419e-5,6.985587803748e-4,7.018784656500e-4,0.229298664,7.059778771980e-4,8.034646153114e-4,0.098958333
hash_placebo_mean,96e104bd3c72a85f,3,4.023393588570e-5,6.043362126219e-4,6.082383587362e-4,0.286863176,6.322594246579e-4,7.935212249942e-4,0.190755208
hash_placebo_mean,a17c2d48f03695e2,3,4.642059091241e-5,6.334570301587e-4,6.311223839094e-4,0.252460717,5.583856938737e-4,6.444950615503e-4,0.257812500
