seed,step,method,candidate_count,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
96e104bd3c72a85f,600,hash_placebo_00,122,8.767948309564e-6,3.022131613469e-4,3.120794287252e-4,0.264723558,3.405419051887e-4,4.371560576146e-4,0.156250000
96e104bd3c72a85f,600,hash_placebo_01,122,8.768990172663e-6,3.022311162536e-4,3.126070205300e-4,0.270883413,3.499203821775e-4,4.575638772621e-4,0.171875000
96e104bd3c72a85f,600,hash_placebo_02,122,8.777854555525e-6,3.023838371233e-4,3.119607909719e-4,0.270582933,3.313611307476e-4,4.210787130887e-4,0.140625000
96e104bd3c72a85f,600,hash_placebo_03,122,8.747907334701e-6,3.018675781472e-4,3.140656594060e-4,0.268329327,3.321042970583e-4,4.314460213664e-4,0.156250000
96e104bd3c72a85f,600,hash_placebo_04,122,8.799634898788e-6,3.027587546695e-4,3.097263277205e-4,0.266075721,3.094884079928e-4,3.978007896421e-4,0.140625000
96e104bd3c72a85f,600,hash_placebo_05,122,8.742209270572e-6,3.017692494304e-4,3.088561475672e-4,0.263521635,3.183125738815e-4,3.887818722887e-4,0.109375000
96e104bd3c72a85f,600,hash_placebo_06,122,8.747729132552e-6,3.018645034847e-4,3.086050253860e-4,0.263972356,3.291858911325e-4,4.175396875326e-4,0.140625000
96e104bd3c72a85f,600,hash_placebo_07,122,8.763036515088e-6,3.021284997571e-4,3.106730054287e-4,0.262019231,3.291960874776e-4,4.080085714122e-4,0.125000000
96e104bd3c72a85f,600,input_only,122,2.196683327957e-6,1.512683641729e-4,1.550270032263e-4,0.178335337,1.600915936706e-4,1.810837886751e-4,0.031250000
96e104bd3c72a85f,600,state_stats,122,3.991166252370e-6,2.038986230022e-4,2.059119660900e-4,0.205228365,2.576916426733e-4,3.154364944749e-4,0.093750000
96e104bd3c72a85f,600,gradient_full123,122,3.252821252432e-7,5.820958229779e-5,5.760805578737e-5,0.108623798,0.000000000000e0,0.000000000000e0,0.000000000
96e104bd3c72a85f,600,development_response_oracle,122,4.760834037533e-7,7.042160266871e-5,7.107621069499e-5,0.134915865,3.799639034696e-5,3.799639034696e-5,0.000000000
96e104bd3c72a85f,600,evaluation_state_response_oracle,122,3.252821252432e-7,5.820958229779e-5,5.726856483594e-5,0.103064904,0.000000000000e0,0.000000000000e0,0.000000000
96e104bd3c72a85f,2400,hash_placebo_00,120,3.969552254952e-5,6.430357894841e-4,6.438765954282e-4,0.269332627,5.992132969368e-4,7.070809397192e-4,0.125000000
96e104bd3c72a85f,2400,hash_placebo_01,120,4.013784345353e-5,6.466084873973e-4,6.814945579726e-4,0.294623941,6.686903571449e-4,7.832071583493e-4,0.125000000
96e104bd3c72a85f,2400,hash_placebo_02,120,4.071966040866e-5,6.512780736805e-4,6.453403626018e-4,0.280058263,6.971516430667e-4,9.180447386257e-4,0.265625000
96e104bd3c72a85f,2400,hash_placebo_03,120,3.955222259384e-5,6.418740676221e-4,6.225708918652e-4,0.264698093,4.636040127366e-4,5.876512122427e-4,0.140625000
96e104bd3c72a85f,2400,hash_placebo_04,120,4.010609501413e-5,6.463527079419e-4,6.453009687939e-4,0.277012712,7.838973133403e-4,9.107085325013e-4,0.140625000
96e104bd3c72a85f,2400,hash_placebo_05,120,4.003369330936e-5,6.457690288634e-4,6.547552878241e-4,0.289459746,6.948477930564e-4,7.965167073962e-4,0.140625000
96e104bd3c72a85f,2400,hash_placebo_06,120,3.921421742825e-5,6.391255209615e-4,6.514811957078e-4,0.275158898,5.786173894649e-4,6.820027413141e-4,0.140625000
96e104bd3c72a85f,2400,hash_placebo_07,120,3.959019013289e-5,6.421820722227e-4,6.644947313482e-4,0.287076271,6.467390167018e-4,7.421516074828e-4,0.125000000
96e104bd3c72a85f,2400,input_only,120,2.918890284386e-5,5.514082618987e-4,5.221830956441e-4,0.268140890,6.090727342780e-4,7.592081133225e-4,0.156250000
96e104bd3c72a85f,2400,state_stats,120,3.687083548750e-5,6.197347843996e-4,6.403153536230e-4,0.277939619,5.945139989763e-4,7.099766069132e-4,0.125000000
96e104bd3c72a85f,2400,gradient_full123,120,1.579438361607e-5,4.056166038688e-4,4.167959824705e-4,0.215042373,4.089525782547e-4,4.245203044775e-4,0.015625000
96e104bd3c72a85f,2400,development_response_oracle,120,1.598044614586e-5,4.079987508388e-4,4.201152791446e-4,0.226562500,4.926934354899e-4,5.393966141582e-4,0.046875000
96e104bd3c72a85f,2400,evaluation_state_response_oracle,120,1.539656030590e-5,4.004757627121e-4,4.099146947036e-4,0.225900424,4.866441261129e-4,5.022118523357e-4,0.015625000
96e104bd3c72a85f,4200,hash_placebo_00,114,7.264630934346e-5,8.699036665025e-4,8.624147184441e-4,0.326704545,9.464930767535e-4,1.170507827283e-3,0.250000000
96e104bd3c72a85f,4200,hash_placebo_01,114,7.140260937281e-5,8.624251741263e-4,8.787668987514e-4,0.311647727,9.674577631813e-4,1.169862920506e-3,0.234375000
96e104bd3c72a85f,4200,hash_placebo_02,114,7.281845097698e-5,8.709337121792e-4,8.418131437876e-4,0.300000000,9.880160068860e-4,1.175703803710e-3,0.234375000
96e104bd3c72a85f,4200,hash_placebo_03,114,7.147925693101e-5,8.628879377019e-4,8.805188517019e-4,0.320028409,9.980541517507e-4,1.250847837696e-3,0.328125000
96e104bd3c72a85f,4200,hash_placebo_04,114,7.215909849536e-5,8.669817045321e-4,8.629082545775e-4,0.316193182,8.457644612463e-4,1.209074733652e-3,0.328125000
96e104bd3c72a85f,4200,hash_placebo_05,114,7.370702527496e-5,8.762314267822e-4,7.971074284353e-4,0.318181818,8.024636372284e-4,1.049129929584e-3,0.250000000
96e104bd3c72a85f,4200,hash_placebo_06,114,6.922813613978e-5,8.491916262674e-4,8.512226569370e-4,0.312500000,9.733631623021e-4,1.355360926937e-3,0.312500000
96e104bd3c72a85f,4200,hash_placebo_07,114,7.300881964270e-5,8.720714064484e-4,9.250806597569e-4,0.311931818,8.797424343356e-4,1.177282192657e-3,0.296875000
96e104bd3c72a85f,4200,input_only,114,5.623275099918e-5,7.653481710360e-4,7.470170361259e-4,0.289488636,8.081435480563e-4,9.071638596652e-4,0.125000000
96e104bd3c72a85f,4200,state_stats,114,7.557846551454e-5,8.872855698382e-4,9.021543904196e-4,0.324715909,9.784995118025e-4,1.223841202318e-3,0.234375000
96e104bd3c72a85f,4200,gradient_full123,114,4.308605704478e-5,6.699351417984e-4,6.880211764623e-4,0.282670455,9.340905680801e-4,1.077767329662e-3,0.218750000
96e104bd3c72a85f,4200,development_response_oracle,114,4.358042725722e-5,6.737676037992e-4,6.831867142269e-4,0.285227273,9.248988562831e-4,1.136719724173e-3,0.265625000
96e104bd3c72a85f,4200,evaluation_state_response_oracle,114,4.254075788700e-5,6.656822775591e-4,6.466415125795e-4,0.270170455,8.135063408190e-4,9.343380412474e-4,0.171875000
205ad7c3918e64fb,600,hash_placebo_00,122,7.943674230084e-6,2.876570989275e-4,2.583494706429e-4,0.231189320,1.520661431158e-4,1.641631698703e-4,0.015625000
205ad7c3918e64fb,600,hash_placebo_01,122,7.979353653408e-6,2.883023885142e-4,2.594129795775e-4,0.246359223,1.521163958813e-4,1.642134226358e-4,0.015625000
205ad7c3918e64fb,600,hash_placebo_02,122,7.967354872201e-6,2.880855427104e-4,2.591075765810e-4,0.230127427,1.523745950607e-4,1.656805561652e-4,0.015625000
205ad7c3918e64fb,600,hash_placebo_03,122,7.935904865030e-6,2.875163920151e-4,2.571527796388e-4,0.234830097,1.405344868743e-4,1.526315136289e-4,0.015625000
205ad7c3918e64fb,600,hash_placebo_04,122,7.943970817185e-6,2.876624688977e-4,2.583075833676e-4,0.244235437,1.689753822092e-4,1.810724089637e-4,0.015625000
205ad7c3918e64fb,600,hash_placebo_05,122,7.949490765751e-6,2.877623941320e-4,2.581688905514e-4,0.244842233,1.620673352107e-4,1.753732963152e-4,0.015625000
205ad7c3918e64fb,600,hash_placebo_06,122,7.932028954644e-6,2.874461716755e-4,2.567556990700e-4,0.234981796,1.594233879558e-4,1.727293490603e-4,0.015625000
205ad7c3918e64fb,600,hash_placebo_07,122,7.969694132603e-6,2.881278313780e-4,2.586457247006e-4,0.237560680,1.500104229279e-4,1.633163840324e-4,0.015625000
205ad7c3918e64fb,600,input_only,122,1.988427786470e-6,1.439193852210e-4,1.445733615492e-4,0.144569175,9.721995422751e-5,9.721995422751e-5,0.000000000
205ad7c3918e64fb,600,state_stats,122,3.520411450115e-6,1.914966125167e-4,2.026013642018e-4,0.169599515,1.274384124770e-4,1.419609911864e-4,0.031250000
205ad7c3918e64fb,600,gradient_full123,122,4.460157134750e-7,6.816155085798e-5,6.814182620799e-5,0.087833738,9.880489676561e-5,9.880489676561e-5,0.000000000
205ad7c3918e64fb,600,development_response_oracle,122,5.992839258028e-7,7.900975189038e-5,7.614648136635e-5,0.111347087,8.002678532648e-5,8.002678532648e-5,0.000000000
205ad7c3918e64fb,600,evaluation_state_response_oracle,122,4.460157134750e-7,6.816155085798e-5,6.957825384351e-5,0.094053398,8.450577706753e-5,8.450577706753e-5,0.000000000
