seed,step,evaluation_candidates,point_count,taylor_rmse,correlation,r_squared,sign_error_rate
96e104bd3c72a85f,600,122,11712,2.269010506792e-4,0.996853156,0.993680297,0.002153316
96e104bd3c72a85f,2400,120,11520,2.054068771431e-4,0.999464765,0.998890595,0.001683029
96e104bd3c72a85f,4200,114,10944,3.056853116973e-4,0.999361855,0.998665647,0.000147406
205ad7c3918e64fb,600,122,11712,2.320840611253e-4,0.996438509,0.992759505,0.000837170
205ad7c3918e64fb,2400,122,11712,6.480441373706e-4,0.994542324,0.988906371,0.002540447
205ad7c3918e64fb,4200,116,11136,3.405848631187e-4,0.999257316,0.998453857,0.002047382
d43c6a107e95b281,600,122,11712,1.499540819152e-4,0.998170581,0.996322240,0.000673038
d43c6a107e95b281,2400,122,11712,5.392359658496e-4,0.997179751,0.994279400,0.001768123
d43c6a107e95b281,4200,118,11328,4.345538882897e-4,0.998916672,0.997765591,0.002044467
5e8f13a2c64970bd,600,122,11712,2.412615902945e-4,0.995340323,0.990580466,0.002176575
5e8f13a2c64970bd,2400,120,11520,4.374692243905e-4,0.998582708,0.997100514,0.001197924
5e8f13a2c64970bd,4200,116,11136,3.433974425052e-4,0.999395647,0.998708869,0.000417944
a17c2d48f03695e2,600,122,11712,2.201050255323e-4,0.996174318,0.992171806,0.002039706
a17c2d48f03695e2,2400,118,11328,4.306843636814e-4,0.997856444,0.995634344,0.003437844
a17c2d48f03695e2,4200,114,10944,3.424486024824e-4,0.999357104,0.998624829,0.001380262
3bc9704ea251d68f,600,122,11712,2.559392129784e-4,0.996122767,0.992227918,0.002914344
3bc9704ea251d68f,2400,122,11712,3.532172247919e-4,0.998906678,0.997731331,0.001268596
3bc9704ea251d68f,4200,116,11136,3.476098905289e-4,0.999429355,0.998810525,0.000353024
