aggregation_level,dataset_index,initialization_index,phase,state_step,anchor_step,offset_from_anchor,partition_age,method,evidence_examples,n_aggregation_units,within_stratum_utility_variance,predicted_rmse,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
cell,0,0,freshness_fresh,600,600,0,0,full_gradient_171,12,2,1.196336215891e-5,9.339121968058e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,full_gradient_171,12,2,7.571414052579e-6,7.426744075545e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,full_gradient_171,12,2,3.587440740890e-6,5.086113105269e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,full_gradient_171,12,2,5.727227573365e-6,6.461191686006e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,full_gradient_171,12,2,5.043563010846e-6,6.064267911909e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,full_gradient_171,12,2,4.583550824326e-6,5.747978228986e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,full_gradient_171,12,2,7.814873411028e-6,7.530177977695e-4,,,,,
cell,2,1,freshness_fresh,600,600,0,0,full_gradient_171,12,2,4.970351073830e-6,5.983368081007e-4,,,,,
cell,2,2,freshness_fresh,600,600,0,0,full_gradient_171,12,2,3.658588960805e-6,5.163249952672e-4,,,,,
cell,0,0,freshness_fresh,600,600,0,0,full_gradient_171,24,2,1.196336215891e-5,6.113890477579e-4,,,,,
cell,0,1,freshness_fresh,600,600,0,0,full_gradient_171,24,2,7.571414052579e-6,4.861945270464e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,full_gradient_171,24,2,3.587440740890e-6,3.329642614000e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,full_gradient_171,24,2,5.727227573365e-6,4.229842854392e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,full_gradient_171,24,2,5.043563010846e-6,3.969995248688e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,full_gradient_171,24,2,4.583550824326e-6,3.762935046755e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,full_gradient_171,24,2,7.814873411028e-6,4.929658654182e-4,,,,,
