method,dataset_index,initialization_index,stream_seed,state_step,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,feature_acquisition_ns_per_example,partition_build_median_ns,partition_build_ns_per_example,measurement_repetitions
hash_placebo_8,255,255,0000000000000000,0,0,0,0,0.000,14100,146.875,3
full_gradient_171,0,0,a303ea0000000001,600,171,131328,20100,209.375,6296000,65583.333,3
output_layer_27,0,0,a303ea0000000001,600,27,20736,9900,103.125,2090500,21776.042,3
last_hidden_layer_72,0,0,a303ea0000000001,600,72,55296,14000,145.833,5919400,61660.417,3
rademacher_projection_32,0,0,a303ea0000000001,600,32,24576,307800,3206.250,4253900,44311.458,3
sign_gradient_171,0,0,a303ea0000000001,600,171,131328,19800,206.250,2340400,24379.167,3
full_gradient_171,0,0,a303ea0000000001,2400,171,131328,17300,180.208,7092600,73881.250,3
output_layer_27,0,0,a303ea0000000001,2400,27,20736,10000,104.167,3235700,33705.208,3
last_hidden_layer_72,0,0,a303ea0000000001,2400,72,55296,18000,187.500,3950200,41147.917,3
rademacher_projection_32,0,0,a303ea0000000001,2400,32,24576,179500,1869.792,5055200,52658.333,3
sign_gradient_171,0,0,a303ea0000000001,2400,171,131328,20200,210.417,2186400,22775.000,3
full_gradient_171,0,0,a303ea0000000001,4200,171,131328,17200,179.167,7994700,83278.125,3
output_layer_27,0,0,a303ea0000000001,4200,27,20736,10500,109.375,2590000,26979.167,3
last_hidden_layer_72,0,0,a303ea0000000001,4200,72,55296,14500,151.042,4800600,50006.250,3
rademacher_projection_32,0,0,a303ea0000000001,4200,32,24576,188000,1958.333,6835800,71206.250,3
sign_gradient_171,0,0,a303ea0000000001,4200,171,131328,30500,317.708,4040500,42088.542,3
full_gradient_171,0,0,a303ea0000000002,600,171,131328,19500,203.125,3842900,40030.208,3
output_layer_27,0,0,a303ea0000000002,600,27,20736,14700,153.125,3065800,31935.417,3
last_hidden_layer_72,0,0,a303ea0000000002,600,72,55296,13900,144.792,3452300,35961.458,3
rademacher_projection_32,0,0,a303ea0000000002,600,32,24576,179400,1868.750,2078000,21645.833,3
sign_gradient_171,0,0,a303ea0000000002,600,171,131328,19700,205.208,2116400,22045.833,3
full_gradient_171,0,0,a303ea0000000002,2400,171,131328,17300,180.208,6165400,64222.917,3
output_layer_27,0,0,a303ea0000000002,2400,27,20736,9800,102.083,2186300,22773.958,3
last_hidden_layer_72,0,0,a303ea0000000002,2400,72,55296,20300,211.458,4045900,42144.792,3
rademacher_projection_32,0,0,a303ea0000000002,2400,32,24576,181300,1888.542,4375900,45582.292,3
sign_gradient_171,0,0,a303ea0000000002,2400,171,131328,20400,212.500,3192500,33255.208,3
full_gradient_171,0,0,a303ea0000000002,4200,171,131328,24800,258.333,5840000,60833.333,3
output_layer_27,0,0,a303ea0000000002,4200,27,20736,14800,154.167,2826000,29437.500,3
last_hidden_layer_72,0,0,a303ea0000000002,4200,72,55296,15500,161.458,5160100,53751.042,3
rademacher_projection_32,0,0,a303ea0000000002,4200,32,24576,179300,1867.708,4898400,51025.000,3
sign_gradient_171,0,0,a303ea0000000002,4200,171,131328,20300,211.458,2409300,25096.875,3
full_gradient_171,0,1,a303ea0000000003,600,171,131328,16800,175.000,5359700,55830.208,3
output_layer_27,0,1,a303ea0000000003,600,27,20736,13700,142.708,2011000,20947.917,3
last_hidden_layer_72,0,1,a303ea0000000003,600,72,55296,13200,137.500,3034400,31608.333,3
rademacher_projection_32,0,1,a303ea0000000003,600,32,24576,194600,2027.083,1891100,19698.958,3
sign_gradient_171,0,1,a303ea0000000003,600,171,131328,20100,209.375,2907300,30284.375,3
full_gradient_171,0,1,a303ea0000000003,2400,171,131328,17000,177.083,3955900,41207.292,3
output_layer_27,0,1,a303ea0000000003,2400,27,20736,10300,107.292,2014200,20981.250,3
last_hidden_layer_72,0,1,a303ea0000000003,2400,72,55296,13000,135.417,3407000,35489.583,3
