dataset_index,initialization_index,stream_seed,state_step,parameter_fingerprint,train_loss,evaluation_candidate_count,r2_checkpoint
0,0,a303ea0000000001,600,36a1b692654f119f,0.818960369,170,true
0,0,a303ea0000000001,625,2ac10018fbed3b8f,0.810889661,170,false
0,0,a303ea0000000001,650,72240e327f2ce76a,0.804905355,170,false
0,0,a303ea0000000001,700,2f36ea1ae4c3bcea,0.790651977,170,false
0,0,a303ea0000000001,2400,4e0c29b61043825b,0.504290402,170,true
0,0,a303ea0000000001,2425,85902a1404c687ef,0.500868857,170,false
0,0,a303ea0000000001,2450,5a1cd43ff4798330,0.503842294,170,false
0,0,a303ea0000000001,2500,d8545bbc3b9d38a6,0.498573750,170,false
0,0,a303ea0000000001,4200,eca6df9a2fe6b659,0.360357076,170,true
0,0,a303ea0000000002,600,a06253975d912ba4,0.815080583,170,true
0,0,a303ea0000000002,625,ad34a350fbbeb06e,0.815530777,170,false
0,0,a303ea0000000002,650,6d59e4a25552ee7b,0.800839245,170,false
0,0,a303ea0000000002,700,e759ef0ef3c59a13,0.784317255,170,false
0,0,a303ea0000000002,2400,fe1c240508103bdf,0.522897124,170,true
0,0,a303ea0000000002,2425,517e35ebee6308ed,0.511443257,170,false
0,0,a303ea0000000002,2450,dc4d3fc4b94d9b55,0.516263425,170,false
0,0,a303ea0000000002,2500,cc16a946187c4e81,0.505549371,170,false
0,0,a303ea0000000002,4200,8473f5f6553fdecd,0.374990106,170,true
0,1,a303ea0000000003,600,973950df53a00c8c,0.908208907,170,true
0,1,a303ea0000000003,625,dfc3a151736333f4,0.905026615,170,false
0,1,a303ea0000000003,650,773859af8ef279b6,0.902513683,170,false
0,1,a303ea0000000003,700,c3847391165f874a,0.884679139,170,false
0,1,a303ea0000000003,2400,2e83509b4ba97602,0.569653809,170,true
0,1,a303ea0000000003,2425,d2fa2fa69abd3545,0.563448370,170,false
0,1,a303ea0000000003,2450,601b78319e7d9d03,0.563441575,170,false
0,1,a303ea0000000003,2500,9d511d5101c2d074,0.555778563,170,false
0,1,a303ea0000000003,4200,e1f374d85bc63b3c,0.349109083,170,true
0,1,a303ea0000000004,600,a1bb73744ac39574,0.915835619,170,true
0,1,a303ea0000000004,625,bf6cc865396b1b2b,0.907954872,170,false
0,1,a303ea0000000004,650,c6d8b6e21779baea,0.898773611,170,false
0,1,a303ea0000000004,700,35bd78d36978e56a,0.884879887,170,false
0,1,a303ea0000000004,2400,3c7194173eee096d,0.549997509,170,true
0,1,a303ea0000000004,2425,ba7ab4f9054ec748,0.552689493,170,false
0,1,a303ea0000000004,2450,4986b455d71fcf90,0.549944758,170,false
0,1,a303ea0000000004,2500,3bdb1ffd721647f2,0.545056760,170,false
0,1,a303ea0000000004,4200,393fec18c5979274,0.365789562,168,true
0,2,a303ea0000000005,600,ae40a7b7953c144b,0.952647448,170,true
