aggregation_level,dataset_index,initialization_index,phase,state_step,anchor_step,offset_from_anchor,partition_age,method,evidence_examples,n_aggregation_units,within_stratum_utility_variance,predicted_rmse,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
cell,0,0,freshness_fresh,600,600,0,0,full_gradient_171,48,2,1.196336215891e-5,3.529856313026e-4,3.497021449769e-4,2.706227701880e-1,3.384043229318e-4,3.523544582293e-4,5.468750000000e-2
cell,0,1,freshness_fresh,600,600,0,0,full_gradient_171,48,2,7.571414052579e-6,2.807045410688e-4,2.760805710471e-4,2.567280724695e-1,2.920182479045e-4,3.003822079890e-4,1.562500000000e-2
cell,0,2,freshness_fresh,600,600,0,0,full_gradient_171,48,2,3.587440740890e-6,1.922370059498e-4,1.952195704597e-4,2.370933103355e-1,2.241731459947e-4,2.835330802213e-4,1.640625000000e-1
cell,1,0,freshness_fresh,600,600,0,0,full_gradient_171,48,2,5.727227573365e-6,2.442100910613e-4,2.440963233175e-4,2.319910046119e-1,2.875332769463e-4,2.918599058717e-4,3.125000000000e-2
cell,1,1,freshness_fresh,600,600,0,0,full_gradient_171,48,2,5.043563010846e-6,2.292077825511e-4,2.282457299215e-4,2.595459964859e-1,2.618805765433e-4,2.758714333009e-4,4.687500000000e-2
cell,1,2,freshness_fresh,600,600,0,0,full_gradient_171,48,2,4.583550824326e-6,2.172531562187e-4,2.140155226325e-4,1.934412425150e-1,2.747493248876e-4,2.758079136811e-4,7.812500000000e-3
cell,2,0,freshness_fresh,600,600,0,0,full_gradient_171,48,2,7.814873411028e-6,2.846139751005e-4,2.852867849359e-4,2.521599264706e-1,2.827103309642e-4,3.073111488163e-4,1.406250000000e-1
cell,2,1,freshness_fresh,600,600,0,0,full_gradient_171,48,2,4.970351073830e-6,2.261500563558e-4,2.271867464614e-4,2.321596853390e-1,3.997758739729e-4,4.607263284839e-4,2.734375000000e-1
cell,2,2,freshness_fresh,600,600,0,0,full_gradient_171,48,2,3.658588960805e-6,1.951525047377e-4,1.890318261724e-4,2.018048167059e-1,2.108276885906e-4,2.507357147010e-4,1.484375000000e-1
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.921186816624e-5,4.472889450504e-4,4.523513507245e-4,3.127770949356e-1,4.764195240341e-4,5.171887031565e-4,1.562500000000e-1
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.383701019172e-5,3.794392598429e-4,3.791294612364e-4,2.945655188118e-1,4.037456554613e-4,4.219079629131e-4,7.031250000000e-2
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,8.291605518590e-6,2.938765663648e-4,2.939611489960e-4,2.798244724026e-1,2.909346081026e-4,3.172852837849e-4,8.593750000000e-2
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.290392999391e-5,3.664335867749e-4,3.610464683626e-4,2.794169313435e-1,3.660535367089e-4,4.139810163508e-4,1.718750000000e-1
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.143503393428e-5,3.450130616714e-4,3.472710486076e-4,3.195421193703e-1,3.655726922780e-4,4.413073436105e-4,1.562500000000e-1
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.017943114557e-5,3.246078049404e-4,3.113223613753e-4,2.493918413174e-1,2.793468290569e-4,2.895035222155e-4,4.687500000000e-2
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.436281580522e-5,3.860985742130e-4,3.723981495898e-4,2.888786764706e-1,3.017800984821e-4,3.304561024606e-4,1.562500000000e-1
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,1.036023727825e-5,3.279322765050e-4,3.296660484839e-4,2.849657691417e-1,3.584651389197e-4,4.248363859851e-4,2.500000000000e-1
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_00,48,2,8.656574956334e-6,3.002597861684e-4,2.923420336768e-4,2.640873387154e-1,2.558624743187e-4,3.011562711990e-4,1.562500000000e-1
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.891488710614e-5,4.438000737633e-4,4.465418128360e-4,3.101834428298e-1,4.589745591801e-4,5.040732578792e-4,1.406250000000e-1
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.330340929293e-5,3.720806435085e-4,3.606130885208e-4,2.904735521427e-1,3.910441667756e-4,4.102665525565e-4,9.375000000000e-2
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,8.322244286658e-6,2.944010809647e-4,3.010756213930e-4,2.771839488636e-1,2.423360397472e-4,2.727361636232e-4,7.031250000000e-2
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.252833245313e-5,3.610760948356e-4,3.641400204964e-4,2.737605508180e-1,3.908245350317e-4,4.310446854845e-4,1.875000000000e-1
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.150484712667e-5,3.460376185558e-4,3.385598279935e-4,3.008333557444e-1,3.404145934738e-4,3.794026423023e-4,8.593750000000e-2
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,9.680358354365e-6,3.165517633041e-4,3.039320658985e-4,2.449943862275e-1,3.250721298791e-4,3.360742265004e-4,3.906250000000e-2
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,1.434775075191e-5,3.859625492012e-4,3.971974084596e-4,2.831801470588e-1,2.747180228653e-4,3.072945656584e-4,1.093750000000e-1
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,9.861727770482e-6,3.198818063209e-4,3.373799834786e-4,2.851041740928e-1,3.488882707074e-4,4.288140406423e-4,2.734375000000e-1
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_01,48,2,8.493203876350e-6,2.974079991660e-4,3.039164229049e-4,2.530254780617e-1,2.616943237683e-4,3.304661318673e-4,2.187500000000e-1
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.910238975932e-5,4.459951892376e-4,4.388166071555e-4,3.072678276192e-1,4.538340319868e-4,4.825905616315e-4,1.328125000000e-1
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.373858282850e-5,3.781173115543e-4,3.820268164726e-4,2.988750473451e-1,4.229713681241e-4,4.440909015742e-4,7.031250000000e-2
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,8.362807746089e-6,2.951439847878e-4,2.992470463177e-4,2.876648741883e-1,2.350163584879e-4,2.603906631009e-4,5.468750000000e-2
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.312448847325e-5,3.695368047951e-4,3.583983956295e-4,2.726423816568e-1,4.241279558528e-4,4.835137212069e-4,1.953125000000e-1
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.153428722255e-5,3.465209945010e-4,3.477823936402e-4,3.030464491896e-1,3.306970859267e-4,3.804765305784e-4,1.093750000000e-1
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.002842460174e-5,3.221947570074e-4,3.201204429050e-4,2.506081586826e-1,3.004553525834e-4,3.134313926312e-4,3.906250000000e-2
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.438113796547e-5,3.863267887610e-4,3.731854812371e-4,2.926470588235e-1,2.972320425840e-4,3.276331522102e-4,1.328125000000e-1
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,1.011835691612e-5,3.240230837531e-4,3.286907552008e-4,2.952322418372e-1,3.997281095316e-4,4.992046497279e-4,3.671875000000e-1
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_02,48,2,8.673469254560e-6,3.005569961120e-4,3.003034529725e-4,2.572914995901e-1,2.687639006069e-4,3.099834522313e-4,1.875000000000e-1
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,1.898884066382e-5,4.446840666559e-4,4.339763104894e-4,3.085940219283e-1,4.479914088762e-4,4.834673480190e-4,1.328125000000e-1
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,1.358488515625e-5,3.759836353315e-4,3.726790903633e-4,2.918265502128e-1,3.911112894883e-4,4.075460327577e-4,5.468750000000e-2
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,8.226763400676e-6,2.927311808157e-4,2.974357620571e-4,2.864617153680e-1,2.528468964158e-4,2.884909104353e-4,5.468750000000e-2
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,1.252463907986e-5,3.609772923761e-4,3.603769609060e-4,2.809718173512e-1,3.471404343429e-4,3.656347740293e-4,1.015625000000e-1
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,1.125139547304e-5,3.422755678183e-4,3.454744088069e-4,3.119055462923e-1,3.321436476327e-4,3.760623419922e-4,9.375000000000e-2
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,9.860795642355e-6,3.193263768647e-4,3.177117094944e-4,2.535553892216e-1,3.410172478286e-4,3.540539639850e-4,5.468750000000e-2
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,1.414460520361e-5,3.831571811375e-4,3.871702649160e-4,2.946231617647e-1,2.881225631199e-4,3.304691407777e-4,1.406250000000e-1
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,1.001243003579e-5,3.223132810830e-4,3.172821679641e-4,2.818743539246e-1,3.882918803271e-4,4.691400327630e-4,3.437500000000e-1
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_03,48,2,8.184132782302e-6,2.919378797620e-4,2.867674590228e-4,2.500194922655e-1,2.705211186651e-4,3.277422131305e-4,2.265625000000e-1
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_04,48,2,1.877701017706e-5,4.421948232215e-4,4.454096011392e-4,3.067049360425e-1,3.999313871930e-4,4.169085926264e-4,9.375000000000e-2
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_04,48,2,1.354623204669e-5,3.754578533970e-4,3.754483873309e-4,2.895858321009e-1,4.256749427185e-4,4.489018646403e-4,8.593750000000e-2
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_04,48,2,7.949166736041e-6,2.877371315242e-4,2.900154807286e-4,2.780784970238e-1,2.352960408700e-4,2.775176510568e-4,9.375000000000e-2
