anchor_step,reuse_commits,method,n_cells,amortized_proxy_ns,verifier_ns,projected_total_ns,within_variance_v48,predicted_rmse_v48,observed_rmse_v48,selected_program_regret_v48
600,1,balanced_kmeans,9,2068794.44,535033.33,2603827.78,6.127237453568e-6,2.473382510181e-4,2.478438378436e-4,3.305904517608e-4
600,1,hash_placebo_mean,9,14200.00,535033.33,549233.33,1.183750937401e-5,3.475728702609e-4,3.485600487361e-4,3.872589420068e-4
600,1,nearest_centroid_quota_repair,9,2174272.22,535033.33,2709305.56,6.127237453568e-6,2.473382510181e-4,2.478438378436e-4,3.305904517608e-4
600,1,projected_order_1d,9,25438.89,535033.33,560472.22,7.925088488037e-6,2.819432759113e-4,2.831144453937e-4,3.537651036104e-4
600,1,warm_start_balanced_kmeans,9,2077816.67,535033.33,2612850.00,6.127237453568e-6,2.473382510181e-4,2.478438378436e-4,3.305904517608e-4
600,10,balanced_kmeans,9,206879.44,533961.11,740840.56,6.120156412419e-6,2.475971277948e-4,2.473656135396e-4,3.830188539935e-4
600,10,hash_placebo_mean,9,1420.00,533961.11,535381.11,1.189046695611e-5,3.483974294629e-4,3.494684147359e-4,4.157791120330e-4
600,10,nearest_centroid_quota_repair,9,217427.22,533961.11,751388.33,6.120156412419e-6,2.475971277948e-4,2.473656135396e-4,3.830188539935e-4
600,10,projected_order_1d,9,2543.89,533961.11,536505.00,8.025214830569e-6,2.838180432346e-4,2.848437074752e-4,3.652784712212e-4
600,10,warm_start_balanced_kmeans,9,207781.67,533961.11,741742.78,6.120156412419e-6,2.475971277948e-4,2.473656135396e-4,3.830188539935e-4
600,25,balanced_kmeans,9,82751.78,534366.67,617118.44,6.368203251843e-6,2.527582451630e-4,2.544047850287e-4,3.661379112629e-4
600,25,hash_placebo_mean,9,568.00,534366.67,534934.67,1.235336876875e-5,3.557169108861e-4,3.561010808828e-4,4.106286827634e-4
600,25,nearest_centroid_quota_repair,9,86970.89,534366.67,621337.56,6.368203251843e-6,2.527582451630e-4,2.544047850287e-4,3.661379112629e-4
600,25,projected_order_1d,9,1017.56,534366.67,535384.22,8.355647254483e-6,2.901962000453e-4,2.889957050388e-4,3.858094207641e-4
600,25,warm_start_balanced_kmeans,9,83112.67,534366.67,617479.33,6.368203251843e-6,2.527582451630e-4,2.544047850287e-4,3.661379112629e-4
600,50,balanced_kmeans,9,41375.89,530611.11,571987.00,6.622174911410e-6,2.577919548183e-4,2.564438967024e-4,3.366662503576e-4
600,50,hash_placebo_mean,9,284.00,530611.11,530895.11,1.261346178429e-5,3.588368306690e-4,3.587733704590e-4,4.214727895698e-4
600,50,nearest_centroid_quota_repair,9,43485.44,530611.11,574096.56,6.622174911410e-6,2.577919548183e-4,2.564438967024e-4,3.366662503576e-4
600,50,projected_order_1d,9,508.78,530611.11,531119.89,8.509174486037e-6,2.927312447658e-4,2.950931801243e-4,3.987747858794e-4
600,50,warm_start_balanced_kmeans,9,41556.33,530611.11,572167.44,6.622174911410e-6,2.577919548183e-4,2.564438967024e-4,3.366662503576e-4
600,100,balanced_kmeans,9,20687.94,532322.22,553010.17,7.492729424664e-6,2.750044366801e-4,2.757414763539e-4,3.548193307916e-4
600,100,hash_placebo_mean,9,142.00,532322.22,532464.22,1.370499723641e-5,3.747315882746e-4,3.752454924705e-4,3.957477921451e-4
600,100,nearest_centroid_quota_repair,9,21742.72,532322.22,554064.94,7.492729424664e-6,2.750044366801e-4,2.757414763539e-4,3.548193307916e-4
600,100,projected_order_1d,9,254.39,532322.22,532576.61,9.512505693048e-6,3.100492664076e-4,3.121580625876e-4,3.703597972222e-4
600,100,warm_start_balanced_kmeans,9,20778.17,532322.22,553100.39,7.492729424664e-6,2.750044366801e-4,2.757414763539e-4,3.548193307916e-4
2400,1,balanced_kmeans,9,2872772.22,541450.00,3414222.22,3.101086202688e-5,5.624156569960e-4,5.603172419916e-4,6.536204509164e-4
2400,1,hash_placebo_mean,9,0.00,541450.00,541450.00,4.108896668737e-5,6.490683691765e-4,6.506466078389e-4,6.710270254015e-4
2400,1,nearest_centroid_quota_repair,9,83588.89,541450.00,625038.89,3.228744144698e-5,5.738071364465e-4,5.682750202954e-4,6.566346048888e-4
2400,1,projected_order_1d,9,24983.33,541450.00,566433.33,3.546650955975e-5,6.025447370173e-4,6.003822941848e-4,6.214427675362e-4
2400,1,warm_start_balanced_kmeans,9,2189205.56,541450.00,2730655.56,3.089644227154e-5,5.613710136226e-4,5.615326439842e-4,6.380646257104e-4
2400,10,balanced_kmeans,9,287277.22,534122.22,821399.44,3.030452696253e-5,5.559397644751e-4,5.537153860609e-4,6.079730628858e-4
2400,10,hash_placebo_mean,9,0.00,534122.22,534122.22,4.012770263348e-5,6.409925810434e-4,6.411224155273e-4,6.409670524242e-4
2400,10,nearest_centroid_quota_repair,9,8358.89,534122.22,542481.11,3.166910108598e-5,5.681205520040e-4,5.633020445440e-4,6.181479958693e-4
2400,10,projected_order_1d,9,2498.33,534122.22,536620.56,3.472087389424e-5,5.959678812907e-4,5.976101863406e-4,6.227409309940e-4
2400,10,warm_start_balanced_kmeans,9,218920.56,534122.22,753042.78,3.020145464971e-5,5.549906726090e-4,5.529079041466e-4,6.033923186519e-4
2400,25,balanced_kmeans,9,114910.89,528955.56,643866.44,3.271507290681e-5,5.766874063911e-4,5.745665112770e-4,6.426033295662e-4
2400,25,hash_placebo_mean,9,0.00,528955.56,528955.56,4.269044998407e-5,6.607475177828e-4,6.599898633470e-4,6.772000568823e-4
2400,25,nearest_centroid_quota_repair,9,3343.56,528955.56,532299.11,3.411803965241e-5,5.887944941960e-4,5.871937820803e-4,6.510974836126e-4
2400,25,projected_order_1d,9,999.33,528955.56,529954.89,3.740025128424e-5,6.178861048449e-4,6.145958631844e-4,6.801108079151e-4
