dataset_index,initialization_index,stream_seed,state_step,anchor_step,age,method,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,partition_build_median_ns,iterations,within_sse,measurement_repetitions
0,0,a303ea0000000001,600,600,0,balanced_kmeans,27,20736,18200,2714100,5,1.636387799700e1,3
0,0,a303ea0000000001,600,600,0,warm_start_balanced_kmeans,27,20736,18200,2231700,5,1.636387799700e1,3
0,0,a303ea0000000001,600,600,0,projected_order_1d,27,20736,18200,13400,1,5.943166417606e1,3
0,0,a303ea0000000001,600,600,0,nearest_centroid_quota_repair,27,20736,18200,2601300,5,1.636387799700e1,3
0,0,a303ea0000000001,600,600,0,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000001,601,600,1,balanced_kmeans,27,20736,15000,1605800,4,1.656684253965e1,3
0,0,a303ea0000000001,601,600,1,warm_start_balanced_kmeans,27,20736,15000,649100,2,1.665618921103e1,3
0,0,a303ea0000000001,601,600,1,projected_order_1d,27,20736,15000,10000,1,6.082380145775e1,3
0,0,a303ea0000000001,601,600,1,nearest_centroid_quota_repair,27,20736,15000,35400,1,2.157490550484e1,3
0,0,a303ea0000000001,601,600,1,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000001,610,600,10,balanced_kmeans,27,20736,9800,1771500,4,1.775226063764e1,3
0,0,a303ea0000000001,610,600,10,warm_start_balanced_kmeans,27,20736,9800,1492000,4,1.738464245004e1,3
0,0,a303ea0000000001,610,600,10,projected_order_1d,27,20736,9800,9900,1,6.334206768985e1,3
0,0,a303ea0000000001,610,600,10,nearest_centroid_quota_repair,27,20736,9800,31000,1,2.337830600109e1,3
0,0,a303ea0000000001,610,600,10,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000001,625,600,25,balanced_kmeans,27,20736,13800,1528800,4,1.633595189078e1,3
0,0,a303ea0000000001,625,600,25,warm_start_balanced_kmeans,27,20736,13800,972900,2,1.594803588655e1,3
0,0,a303ea0000000001,625,600,25,projected_order_1d,27,20736,13800,15600,1,6.202636933790e1,3
0,0,a303ea0000000001,625,600,25,nearest_centroid_quota_repair,27,20736,13800,61900,1,2.223498222257e1,3
0,0,a303ea0000000001,625,600,25,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000001,650,600,50,balanced_kmeans,27,20736,13100,2771500,5,1.821429866514e1,3
0,0,a303ea0000000001,650,600,50,warm_start_balanced_kmeans,27,20736,13100,576900,2,1.747687096736e1,3
0,0,a303ea0000000001,650,600,50,projected_order_1d,27,20736,13100,10000,1,5.913402796621e1,3
0,0,a303ea0000000001,650,600,50,nearest_centroid_quota_repair,27,20736,13100,36800,1,2.478023205653e1,3
0,0,a303ea0000000001,650,600,50,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000001,700,600,100,balanced_kmeans,27,20736,13900,2888700,5,1.849519429005e1,3
0,0,a303ea0000000001,700,600,100,warm_start_balanced_kmeans,27,20736,13900,572200,2,1.859433304688e1,3
0,0,a303ea0000000001,700,600,100,projected_order_1d,27,20736,13900,9900,1,6.175183790709e1,3
0,0,a303ea0000000001,700,600,100,nearest_centroid_quota_repair,27,20736,13900,34400,1,2.599941940505e1,3
0,0,a303ea0000000001,700,600,100,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000001,2400,2400,0,balanced_kmeans,27,20736,10200,2537800,5,4.317896481719e1,3
0,0,a303ea0000000001,2400,2400,0,warm_start_balanced_kmeans,27,20736,10200,2372200,4,4.334267897846e1,3
