anchor_step,partition_age,method,mode,n_cells,within_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_v48,cross_block_regret_v48,selected_regret_v48,false_authorization_v48
600,0,balanced_kmeans,fresh,9,6.141964695785e-6,2.479929918492e-4,2.478013133202e-4,2.382241630105e-1,3.040086509017e-4,3.385104716907e-4,1.319444444444e-1
600,0,balanced_kmeans,stale_reuse,9,6.141964695785e-6,2.479929918492e-4,2.478013133202e-4,2.382241630105e-1,3.040086509017e-4,3.385104716907e-4,1.319444444444e-1
600,0,hash_placebo_00,placebo_component,9,1.213761188779e-5,3.523277623924e-4,3.488320078948e-4,2.859388625010e-1,3.442422841514e-4,3.841802879640e-4,1.388888888889e-1
600,0,hash_placebo_01,placebo_component,9,1.188408455762e-5,3.485777366245e-4,3.503729168868e-4,2.798598928710e-1,3.371074046032e-4,3.777969185016e-4,1.354166666667e-1
600,0,hash_placebo_02,placebo_component,9,1.211821608529e-5,3.520462122788e-4,3.498412657257e-4,2.850306154369e-1,3.480918006316e-4,3.890350027658e-4,1.432291666667e-1
600,0,hash_placebo_03,placebo_component,9,1.186427638197e-5,3.481540513161e-4,3.465415704467e-4,2.844257831477e-1,3.399096096330e-4,3.780674175433e-4,1.336805555556e-1
600,0,hash_placebo_04,placebo_component,9,1.200217609353e-5,3.502286560828e-4,3.503038701300e-4,2.820100662640e-1,3.337907782664e-4,3.740191706504e-4,1.449652777778e-1
600,0,hash_placebo_05,placebo_component,9,1.228343576085e-5,3.545796402857e-4,3.550266446557e-4,2.856218836640e-1,3.327031368540e-4,3.712165333695e-4,1.319444444444e-1
600,0,hash_placebo_06,placebo_component,9,1.196864170963e-5,3.496559139004e-4,3.477334366505e-4,2.833317705765e-1,3.342901605858e-4,3.692845740298e-4,1.336805555556e-1
600,0,hash_placebo_07,placebo_component,9,1.190623748849e-5,3.489351800801e-4,3.501164124909e-4,2.815615205533e-1,3.422432670940e-4,3.829100838200e-4,1.371527777778e-1
600,0,hash_placebo_mean,fixed_placebos,9,1.202058499565e-5,3.505631441201e-4,3.498460156101e-4,2.834725493768e-1,3.390473052274e-4,3.783137485805e-4,1.373697916667e-1
600,0,nearest_centroid_quota_repair,fresh,9,6.141964695785e-6,2.479929918492e-4,2.478013133202e-4,2.382241630105e-1,3.040086509017e-4,3.385104716907e-4,1.319444444444e-1
600,0,nearest_centroid_quota_repair,stale_reuse,9,6.141964695785e-6,2.479929918492e-4,2.478013133202e-4,2.382241630105e-1,3.040086509017e-4,3.385104716907e-4,1.319444444444e-1
600,0,projected_order_1d,fresh,9,8.039335589850e-6,2.841101669486e-4,2.867823597751e-4,2.600267762766e-1,3.031055451215e-4,3.360865201449e-4,1.310763888889e-1
600,0,projected_order_1d,stale_reuse,9,8.039335589850e-6,2.841101669486e-4,2.867823597751e-4,2.600267762766e-1,3.031055451215e-4,3.360865201449e-4,1.310763888889e-1
600,0,warm_start_balanced_kmeans,fresh,9,6.141964695785e-6,2.479929918492e-4,2.478013133202e-4,2.382241630105e-1,3.040086509017e-4,3.385104716907e-4,1.319444444444e-1
600,0,warm_start_balanced_kmeans,stale_reuse,9,6.141964695785e-6,2.479929918492e-4,2.478013133202e-4,2.382241630105e-1,3.040086509017e-4,3.385104716907e-4,1.319444444444e-1
