dataset_index,initialization_index,n_streams,projected_evaluation_loss,hash_evaluation_loss,paired_evaluation_loss_difference,projected_accuracy,hash_accuracy,projected_train_loss,hash_train_loss
0,0,2,2.135527492e0,1.712293923e0,4.232335687e-1,0.546875,0.546875,3.032781333e-1,3.299705088e-1
0,1,2,2.318228126e0,2.359315634e0,-4.108750820e-2,0.536458,0.552083,8.751609549e-2,1.423441097e-1
0,2,2,2.003451407e0,1.768780768e0,2.346706390e-1,0.473958,0.458333,2.492762655e-1,3.374058902e-1
0,3,2,2.150176108e0,1.719297647e0,4.308784604e-1,0.489583,0.494792,3.362476826e-1,3.853130937e-1
0,4,2,1.577334762e0,1.611293375e0,-3.395861387e-2,0.500000,0.494792,3.128748089e-1,2.972251475e-1
1,0,2,2.080677211e0,2.283766448e0,-2.030892372e-1,0.567708,0.562500,2.367131487e-1,1.715760566e-1
1,1,2,1.640952051e0,1.573371053e0,6.758099794e-2,0.572917,0.572917,1.838860139e-1,2.026451007e-1
1,2,2,1.847749233e0,1.613143802e0,2.346054316e-1,0.505208,0.557292,2.971287891e-1,2.575649545e-1
1,3,2,1.794990361e0,1.817332566e0,-2.234220505e-2,0.515625,0.572917,1.222701594e-1,1.008171812e-1
1,4,2,1.974171162e0,1.924001992e0,5.016916990e-2,0.526042,0.546875,1.062594317e-1,1.462127119e-1
2,0,2,1.705707490e0,1.509515464e0,1.961920261e-1,0.651042,0.651042,1.553577781e-1,2.083532065e-1
2,1,2,2.413858891e0,2.304341435e0,1.095174551e-1,0.604167,0.614583,4.928026441e-2,6.107064243e-2
2,2,2,1.600522935e0,1.552006364e0,4.851657152e-2,0.666667,0.640625,3.139425069e-1,2.442508414e-1
2,3,2,1.384325624e0,1.477298975e0,-9.297335148e-2,0.651042,0.645833,1.583903283e-1,2.649128959e-1
2,4,2,1.871148467e0,1.798663616e0,7.248485088e-2,0.640625,0.578125,1.706184670e-1,2.026506662e-1
3,0,2,1.615877390e0,1.444588900e0,1.712884903e-1,0.531250,0.484375,2.135899737e-1,3.007706404e-1
3,1,2,1.916284382e0,1.762670100e0,1.536142826e-1,0.510417,0.552083,3.352502584e-1,1.668047905e-1
3,2,2,1.112627745e0,1.048711658e0,6.391608715e-2,0.546875,0.598958,4.117920697e-1,4.147381186e-1
3,3,2,1.592493176e0,2.109937370e0,-5.174441934e-1,0.572917,0.583333,3.706180900e-1,2.407903150e-1
3,4,2,1.853357673e0,1.833501995e0,1.985567808e-2,0.526042,0.526042,2.878702134e-1,3.267659694e-1
4,0,2,1.768098176e0,1.593198359e0,1.748998165e-1,0.510417,0.494792,3.396456987e-1,4.129928052e-1
4,1,2,1.645867765e0,1.601185083e0,4.468268156e-2,0.593750,0.583333,1.479989961e-1,2.298005819e-1
4,2,2,2.137627661e0,2.318702221e0,-1.810745597e-1,0.494792,0.489583,3.386269808e-1,3.141783476e-1
4,3,2,2.035808980e0,1.748421431e0,2.873875499e-1,0.552083,0.520833,2.662272155e-1,2.152442709e-1
4,4,2,2.191654146e0,1.870114923e0,3.215392232e-1,0.578125,0.614583,2.329778001e-1,2.290407866e-1
