dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
0,0,a303d1ea00000001,projected_order_1d,0,1.161280632e0,1.105547905e0,0.333333,154169d76607567a
0,0,a303d1ea00000001,projected_order_1d,600,7.970071435e-1,1.033010840e0,0.437500,fd37262bc60ae877
0,0,a303d1ea00000001,projected_order_1d,2400,4.880748987e-1,1.737588048e0,0.489583,5c54d517a12b08b2
0,0,a303d1ea00000001,projected_order_1d,4200,2.869085073e-1,2.180769920e0,0.562500,cc451afa5d03fdc4
0,0,a303d1ea00000001,hash_placebo,0,1.161280632e0,1.105547905e0,0.333333,154169d76607567a
0,0,a303d1ea00000001,hash_placebo,600,8.608126640e-1,1.018332601e0,0.375000,aea6e3fa1127c01b
0,0,a303d1ea00000001,hash_placebo,2400,5.012876391e-1,1.416817546e0,0.500000,a380dce4278fa594
0,0,a303d1ea00000001,hash_placebo,4200,3.116995692e-1,1.850353241e0,0.562500,fc8768a285c2b316
0,0,a303d1ea00000002,projected_order_1d,0,1.161280632e0,1.105547905e0,0.333333,154169d76607567a
0,0,a303d1ea00000002,projected_order_1d,600,8.246371150e-1,1.007183909e0,0.458333,1a2492a2415e698a
0,0,a303d1ea00000002,projected_order_1d,2400,4.923971593e-1,1.534704685e0,0.500000,d8d0b63e82a0f984
0,0,a303d1ea00000002,projected_order_1d,4200,3.196477592e-1,2.090285063e0,0.531250,491012e34c6f72d1
0,0,a303d1ea00000002,hash_placebo,0,1.161280632e0,1.105547905e0,0.333333,154169d76607567a
0,0,a303d1ea00000002,hash_placebo,600,8.802472949e-1,1.029811382e0,0.437500,3fb17ded599e4f8a
0,0,a303d1ea00000002,hash_placebo,2400,5.320066810e-1,1.336335063e0,0.531250,45494f49b7f49241
0,0,a303d1ea00000002,hash_placebo,4200,3.482414484e-1,1.574234605e0,0.531250,410f9bc8c4196208
0,1,a303d1ea00000003,projected_order_1d,0,1.105793953e0,1.118330359e0,0.333333,f526c642b4252d0e
0,1,a303d1ea00000003,projected_order_1d,600,8.595129848e-1,1.090581656e0,0.468750,696f1ed85cc53371
0,1,a303d1ea00000003,projected_order_1d,2400,2.768887579e-1,1.528993130e0,0.531250,14b5606ef1405d5e
0,1,a303d1ea00000003,projected_order_1d,4200,8.639976382e-2,2.392215490e0,0.531250,08f502824d253cbb
0,1,a303d1ea00000003,hash_placebo,0,1.105793953e0,1.118330359e0,0.333333,f526c642b4252d0e
0,1,a303d1ea00000003,hash_placebo,600,9.517650604e-1,1.150257468e0,0.302083,046e3110b81a5b53
0,1,a303d1ea00000003,hash_placebo,2400,3.262729943e-1,1.342210293e0,0.552083,343edaba1f11adbc
0,1,a303d1ea00000003,hash_placebo,4200,1.370270848e-1,2.230265141e0,0.552083,7557b2345fe0a7e0
0,1,a303d1ea00000004,projected_order_1d,0,1.105793953e0,1.118330359e0,0.333333,f526c642b4252d0e
0,1,a303d1ea00000004,projected_order_1d,600,8.403906226e-1,1.055340528e0,0.416667,8587395edc8fd3fe
0,1,a303d1ea00000004,projected_order_1d,2400,3.379915655e-1,1.460321784e0,0.541667,34b7440e52a25110
0,1,a303d1ea00000004,projected_order_1d,4200,8.863242716e-2,2.244240761e0,0.541667,8b0f4301b4ac517e
0,1,a303d1ea00000004,hash_placebo,0,1.105793953e0,1.118330359e0,0.333333,f526c642b4252d0e
0,1,a303d1ea00000004,hash_placebo,600,9.051551819e-1,1.096315742e0,0.375000,d4b3d4a17d8d527c
0,1,a303d1ea00000004,hash_placebo,2400,3.510842323e-1,1.596089721e0,0.552083,09fee0d83663df31
0,1,a303d1ea00000004,hash_placebo,4200,1.476611346e-1,2.488366127e0,0.552083,a1ee6c169e6d5df7
0,2,a303d1ea00000005,projected_order_1d,0,1.113238215e0,1.094355702e0,0.333333,4a613bc4cdad5f48
0,2,a303d1ea00000005,projected_order_1d,600,8.321086764e-1,1.009902358e0,0.447917,eddfc0438b4cd4b8
0,2,a303d1ea00000005,projected_order_1d,2400,4.889915884e-1,1.385429025e0,0.395833,55280bcdf24039bd
0,2,a303d1ea00000005,projected_order_1d,4200,2.790438831e-1,2.014558554e0,0.489583,e73c03d010b16acc
0,2,a303d1ea00000005,hash_placebo,0,1.113238215e0,1.094355702e0,0.333333,4a613bc4cdad5f48
0,2,a303d1ea00000005,hash_placebo,600,8.460819125e-1,1.010867596e0,0.447917,dd121e8b092f8865
