factor,factor_index,n_cells,projected_evaluation_loss,hash_evaluation_loss,paired_loss_difference,projected_accuracy,hash_accuracy
dataset,0,5,2.036943579e0,1.834196270e0,2.027473092e-1,0.509375,0.509375
dataset,1,5,1.867708004e0,1.842323172e0,2.538483143e-2,0.537500,0.562500
dataset,2,5,1.795112681e0,1.728365171e0,6.674751043e-2,0.642708,0.626042
dataset,3,5,1.618128073e0,1.639882004e0,-2.175393105e-2,0.537500,0.548958
dataset,4,5,1.955811346e0,1.826324403e0,1.294869423e-1,0.545833,0.540625
initialization,0,5,1.861177552e0,1.708672619e0,1.525049329e-1,0.561458,0.547917
initialization,1,5,1.987038243e0,1.920176661e0,6.686158180e-2,0.563542,0.575000
initialization,2,5,1.740395796e0,1.660268962e0,8.012683392e-2,0.537500,0.548958
initialization,3,5,1.791558850e0,1.774457598e0,1.710125208e-2,0.556250,0.563542
initialization,4,5,1.893533242e0,1.807515180e0,8.601806164e-2,0.554167,0.552083
