dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
0,0,a303ea0000000001,projected_order_1d,0,1.115526795e0,1.107143879e0,0.354167,9af297d07da8ccef
0,0,a303ea0000000001,projected_order_1d,600,7.486386895e-1,1.178648353e0,0.468750,caa292db543921f2
0,0,a303ea0000000001,projected_order_1d,2400,4.400471151e-1,2.109173059e0,0.531250,8729e12e7763e326
0,0,a303ea0000000001,projected_order_1d,4200,3.210974932e-1,2.752102852e0,0.500000,834d7b287539fd72
0,0,a303ea0000000001,hash_placebo,0,1.115526795e0,1.107143879e0,0.354167,9af297d07da8ccef
0,0,a303ea0000000001,hash_placebo,600,8.004331589e-1,1.206081271e0,0.437500,33ceed4dffa8e09a
0,0,a303ea0000000001,hash_placebo,2400,4.908317626e-1,2.288776159e0,0.500000,0ca6f103af0cb35c
0,0,a303ea0000000001,hash_placebo,4200,3.474568427e-1,3.230660200e0,0.531250,5683f7bd7b5e3e20
0,0,a303ea0000000002,projected_order_1d,0,1.115526795e0,1.107143879e0,0.354167,9af297d07da8ccef
0,0,a303ea0000000002,projected_order_1d,600,7.643563151e-1,1.198270202e0,0.520833,eaea53e01b326eb8
0,0,a303ea0000000002,projected_order_1d,2400,4.617697299e-1,2.202098846e0,0.541667,307a490939aa6df6
0,0,a303ea0000000002,projected_order_1d,4200,3.386531174e-1,3.133528471e0,0.520833,d90339f09ecf67de
0,0,a303ea0000000002,hash_placebo,0,1.115526795e0,1.107143879e0,0.354167,9af297d07da8ccef
0,0,a303ea0000000002,hash_placebo,600,7.658293247e-1,1.208263636e0,0.489583,61bacbfd3b91ad34
0,0,a303ea0000000002,hash_placebo,2400,4.325294793e-1,2.207534313e0,0.510417,63cd53c512adccb7
0,0,a303ea0000000002,hash_placebo,4200,2.739765644e-1,2.905040503e0,0.541667,e20a820e409a6c80
0,1,a303ea0000000003,projected_order_1d,0,1.101572156e0,1.096617341e0,0.375000,8f7eaa706e75bec2
0,1,a303ea0000000003,projected_order_1d,600,8.627610803e-1,1.054897428e0,0.458333,c895433a8e3821b4
