state_id,cell_id,dataset_id,training_seed,heldout_seed,initialization_id,initialization_seed,state_seed,action_proposal_seed,stage,hash_partition_id,state_fingerprint,training_loss,heldout_loss,parameter_rms,active_hidden_fraction,candidate_count,candidate_fingerprint,valid_continuations,censored_continuations
0,0,0,a40441da00000001,a4044e7a00000001,0,a4041a1700000001,a40457a700000001,a404ca7a00000001,600,0,cb942a1bc5307684,8.499958515167e-1,1.230607390404e0,2.484546625647e-1,0.632161458,170,053c9c462fa063e6,8,0
1,0,0,a40441da00000001,a4044e7a00000001,0,a4041a1700000001,a40457a700000001,a404ca7a00000002,2400,0,0ce98bfc3929dbdd,5.792329907417e-1,1.823612093925e0,4.377100089934e-1,0.626953125,170,0ee566204d7cc32c,8,0
2,0,0,a40441da00000001,a4044e7a00000001,0,a4041a1700000001,a40457a700000001,a404ca7a00000003,4200,0,f8b795a7dcaf7f90,3.812820017338e-1,2.104509592056e0,5.443550958545e-1,0.586588542,170,1d491e1f58cdd8f0,8,0
3,1,0,a40441da00000001,a4044e7a00000001,1,a4041a1700000002,a40457a700000002,a404ca7a00000004,600,1,822d25649de5630c,8.668107390404e-1,1.177661061287e0,2.416167030772e-1,0.416015625,170,7c51a8aef072a240,8,0
4,1,0,a40441da00000001,a4044e7a00000001,1,a4041a1700000002,a40457a700000002,a404ca7a00000005,2400,1,0a6d506917785fc8,4.745690822601e-1,1.920816063881e0,4.475372824738e-1,0.464843750,170,74554751c32cabf8,8,0
5,1,0,a40441da00000001,a4044e7a00000001,1,a4041a1700000002,a40457a700000002,a404ca7a00000006,4200,1,014a37f2521420e7,2.482101321220e-1,2.868458747864e0,5.798086905855e-1,0.501302083,170,3b088951f47ef0c2,8,0
6,2,0,a40441da00000001,a4044e7a00000001,2,a4041a1700000003,a40457a700000003,a404ca7a00000007,600,2,1eb7ce616ee2efe5,9.472112655640e-1,1.155983328819e0,2.264376361611e-1,0.474609375,170,1e8dedab62c01742,8,0
7,2,0,a40441da00000001,a4044e7a00000001,2,a4041a1700000003,a40457a700000003,a404ca7a00000008,2400,2,02342e6ac540f337,5.354050993919e-1,1.266677260399e0,3.880929554208e-1,0.493489583,170,2e57233f7f279d36,8,0
8,2,0,a40441da00000001,a4044e7a00000001,2,a4041a1700000003,a40457a700000003,a404ca7a00000009,4200,2,726de826674c174d,3.380882740021e-1,1.443709254265e0,4.758628981027e-1,0.470052083,170,80f27e6de49a9d70,8,0
9,3,0,a40441da00000001,a4044e7a00000001,3,a4041a1700000004,a40457a700000004,a404ca7a0000000a,600,3,f5ff664b9f3139e5,8.464064002037e-1,1.145718932152e0,2.574189869308e-1,0.591796875,170,66dce9a0c8da9e32,8,0
