dataset_id,kind,panel_id,seed_a,seed_b,order_seed,sample_count,path,sha256
0,training,,a404b10100000001,,,96,data/training-00.bin,80cda0e30203b275f5648f67566b8ede846ef24edcbab948eb865123c897243b
0,final_measurement,,a404b10200000001,,,96,data/final-measurement-00.bin,b2b5e0f12cc1155dfd351500b6cacb067fd3f253a0b67d2fa77510417368c102
0,sentinel,0,a404b10300000001,a404b10300000002,a404b10400000001,128,data/sentinel-d00-p00.bin,05ecf3bb75399b3b9ca26981c63f4922e8effba14b39eb79d41d41421781cc65
0,sentinel,1,a404b10300000003,a404b10300000004,a404b10400000002,128,data/sentinel-d00-p01.bin,c7d35d602f2552a375528614ee06d4b706fc158e194f1bff1bbc497152d2c23d
0,sentinel,2,a404b10300000005,a404b10300000006,a404b10400000003,128,data/sentinel-d00-p02.bin,f6a34c1f702f82cf932ddbfcf09f261323aca59e46b14c4cf6ff18fd6b59a9cb
0,sentinel,3,a404b10300000007,a404b10300000008,a404b10400000004,128,data/sentinel-d00-p03.bin,692145f30ae9972bdc2a14f50d02f9a5df58ae54ca51fbbff7e429be72263d59
1,training,,a404b10100000002,,,96,data/training-01.bin,307f9078187e4eccc18150009c18ca3e921181a63df53e2190c85e5a750292c7
1,final_measurement,,a404b10200000002,,,96,data/final-measurement-01.bin,168b55bc550816bd2eb2f48f93660e20d1e9f61b48f0b8a0d220c5655ba119ba
1,sentinel,0,a404b10300000009,a404b1030000000a,a404b10400000005,128,data/sentinel-d01-p00.bin,7f0eec0b5a59b8273f4d6d6954f51b8b7c925d0f0d0acaeac2f15a19df057945
1,sentinel,1,a404b1030000000b,a404b1030000000c,a404b10400000006,128,data/sentinel-d01-p01.bin,95b4423bbbbf5eb4b6a3109dbe0d3fb3c1875b49340ab82f550be2fbac7288bf
1,sentinel,2,a404b1030000000d,a404b1030000000e,a404b10400000007,128,data/sentinel-d01-p02.bin,a2dc1586f82d5d9ce94b549790e384ec8f4a963830fba8c68d8bba4214554b33
1,sentinel,3,a404b1030000000f,a404b10300000010,a404b10400000008,128,data/sentinel-d01-p03.bin,02d845f3ed0a3f9085d4fe87f742bf6d4036ad4bc4583de0dbefd68102e5c19e
2,training,,a404b10100000003,,,96,data/training-02.bin,57181289880a6ff8e13d833b6632f49e33b53c72675c0bb985e2764822bb5633
2,final_measurement,,a404b10200000003,,,96,data/final-measurement-02.bin,6ea3ffb50fc19d8b8ca4778e332903e1cd5dd0164ce71a4cc9cfb44ae4d6b507
2,sentinel,0,a404b10300000011,a404b10300000012,a404b10400000009,128,data/sentinel-d02-p00.bin,3f72eec6c3c9bf31013dccfd039c4f4622e217dec395f81946f4801f80657b24
2,sentinel,1,a404b10300000013,a404b10300000014,a404b1040000000a,128,data/sentinel-d02-p01.bin,db01d75690710c82037f27d009fe35fda3385d0acd7ce5f8ba1bce10092c6e76
2,sentinel,2,a404b10300000015,a404b10300000016,a404b1040000000b,128,data/sentinel-d02-p02.bin,ec4cbb993316f16d87f8263334c4b2a19c8244f65ed3a8fac8d6653db8edd294
2,sentinel,3,a404b10300000017,a404b10300000018,a404b1040000000c,128,data/sentinel-d02-p03.bin,79bfed2088368177b27e8f1b1a8dbc1e350682e5f3082b96ab135be618adcc4e
3,training,,a404b10100000004,,,96,data/training-03.bin,d282c66da42b2ba6f2ba23955d59ccaaafe70a94b8782ba19f3d7c1d32b2641c
3,final_measurement,,a404b10200000004,,,96,data/final-measurement-03.bin,13ebd2d827d79bfb3cf60da81af812a9b356cd0aeff3bb70fe285bbf2f666337
3,sentinel,0,a404b10300000019,a404b1030000001a,a404b1040000000d,128,data/sentinel-d03-p00.bin,7abdcbe934e255ddd10c41312a7d0a61555cbed6eb348519dd674200047aeae0
3,sentinel,1,a404b1030000001b,a404b1030000001c,a404b1040000000e,128,data/sentinel-d03-p01.bin,121a6d11249882fa4e806fbaa07da0643abd8b37f8e475dce5de8690303552a2
3,sentinel,2,a404b1030000001d,a404b1030000001e,a404b1040000000f,128,data/sentinel-d03-p02.bin,a2313473653769db961b61c75771f1f0b520018450392df54c955f820eab7758
3,sentinel,3,a404b1030000001f,a404b10300000020,a404b10400000010,128,data/sentinel-d03-p03.bin,43df814b4d2a9f4d601f4c4bb1cbc1587e562ae467c9227befd126cac4b23902
4,training,,a404b10100000005,,,96,data/training-04.bin,15be81f4012fc3e6d04bc99709e4f6b424504c2617cb27015ae90812f0f5b8fc
4,final_measurement,,a404b10200000005,,,96,data/final-measurement-04.bin,6271038e189883c8652f5427c82cd9ef74b3f164d93a8e5642a798da5daa6630
4,sentinel,0,a404b10300000021,a404b10300000022,a404b10400000011,128,data/sentinel-d04-p00.bin,2166bb2c72cf5e49e8e3bccf635a36483abe2c61f4d0bb9516495184218193de
4,sentinel,1,a404b10300000023,a404b10300000024,a404b10400000012,128,data/sentinel-d04-p01.bin,edda2e87869ec23f130fdd5f9cafb4194dd38f62d95cd483c75c4dd820c4b1e6
4,sentinel,2,a404b10300000025,a404b10300000026,a404b10400000013,128,data/sentinel-d04-p02.bin,4b6ae8c03f1d0903f5df1fa2aa34e7b4c3df3bf0e79f38fdac30648e3fce1487
4,sentinel,3,a404b10300000027,a404b10300000028,a404b10400000014,128,data/sentinel-d04-p03.bin,31ffbc040a77afae4abbadcf7aa26a6f3455cd44f3010a92dfd5ea206b668b1f
