state_id,cell_id,dataset_id,initialization_id,stage,initialization_seed,state_stream_seed,proposal_seed,training_loss,state_fingerprint,candidate_fingerprint,candidate_count
0,0,0,0,600,a404b10500000001,a404b10600000001,a404b10700000001,8.848793506622e-1,dd3cc2d99aea9d30,a485e3242c6dc2cc,170
1,0,0,0,2400,a404b10500000001,a404b10600000001,a404b10700000002,5.482810139656e-1,e023b4a170875376,99d9eef8e2111c08,170
2,0,0,0,4200,a404b10500000001,a404b10600000001,a404b10700000003,4.121700227261e-1,4ef485f121e3855b,802e9fc5ef2114d2,170
3,1,0,1,600,a404b10500000002,a404b10600000002,a404b10700000004,8.995947241783e-1,2cb8fcfa91e1ca00,54db73947c017596,170
4,1,0,1,2400,a404b10500000002,a404b10600000002,a404b10700000005,4.331783056259e-1,1212e39917da8317,dff284707e90f3c0,170
5,1,0,1,4200,a404b10500000002,a404b10600000002,a404b10700000006,2.259917408228e-1,740f8c9fbf9353d5,87ce1e712e5ca530,170
6,2,0,2,600,a404b10500000003,a404b10600000003,a404b10700000007,8.462873101234e-1,5bea576ec25b00b3,10ef0274d30f2c60,170
7,2,0,2,2400,a404b10500000003,a404b10600000003,a404b10700000008,4.843275845051e-1,381ccd79448efc79,efd1ec5c81fe3794,170
8,2,0,2,4200,a404b10500000003,a404b10600000003,a404b10700000009,2.397705316544e-1,f5c01fe4ab7fcf6b,e47872f969b41596,170
9,3,0,3,600,a404b10500000004,a404b10600000004,a404b1070000000a,9.609363079071e-1,52dd1c023cfc636b,bd3f0d9a6409bcf6,170
10,3,0,3,2400,a404b10500000004,a404b10600000004,a404b1070000000b,5.782977938652e-1,48ff896d1336a0f0,4fdf13510a620474,170
11,3,0,3,4200,a404b10500000004,a404b10600000004,a404b1070000000c,3.757127523422e-1,6e08492fd28cc28d,da60360b89242a98,170
12,4,0,4,600,a404b10500000005,a404b10600000005,a404b1070000000d,8.470358848572e-1,a37a69858f6b0090,3c092fb0e6df99a2,170
13,4,0,4,2400,a404b10500000005,a404b10600000005,a404b1070000000e,3.611024916172e-1,c9a2e5e5b204115a,face19149098a412,170
14,4,0,4,4200,a404b10500000005,a404b10600000005,a404b1070000000f,1.298270076513e-1,c59e54ed3444b655,8301603da95caa16,170
15,5,1,0,600,a404b10500000001,a404b10600000006,a404b10700000010,7.750759124756e-1,24d3aee9c9940fa8,cbc21dafecc1a074,170
16,5,1,0,2400,a404b10500000001,a404b10600000006,a404b10700000011,4.796319007874e-1,15ad017a3cac9b4f,d6ee24a8a24807c0,170
17,5,1,0,4200,a404b10500000001,a404b10600000006,a404b10700000012,2.752907276154e-1,48c92c69e4c9dec6,21d52091f13b704c,170
18,6,1,1,600,a404b10500000002,a404b10600000007,a404b10700000013,8.666936755180e-1,d712287928c99b55,e0d3f9d4e11b5212,170
19,6,1,1,2400,a404b10500000002,a404b10600000007,a404b10700000014,4.366054832935e-1,d5f3c4c37e77019e,a41e22b0b63fc592,170
20,6,1,1,4200,a404b10500000002,a404b10600000007,a404b10700000015,3.691578209400e-1,990eed0b80e7e634,559879d003decf00,170
21,7,1,2,600,a404b10500000003,a404b10600000008,a404b10700000016,6.838838458061e-1,514c96a40f2bab5b,f9f42eade65ab9b0,170
22,7,1,2,2400,a404b10500000003,a404b10600000008,a404b10700000017,4.280743598938e-1,4c6db0618985d931,d72abf0a0a3021c6,170
23,7,1,2,4200,a404b10500000003,a404b10600000008,a404b10700000018,2.666991651058e-1,a1c473be122f8b40,03c7e289cef969f0,170
24,8,1,3,600,a404b10500000004,a404b10600000009,a404b10700000019,8.320322036743e-1,96891e3dccf44bc7,e3938f3021c7d324,170
25,8,1,3,2400,a404b10500000004,a404b10600000009,a404b1070000001a,3.185087740421e-1,fff6b9ff0d543e92,f885ee64c68fe786,170
26,8,1,3,4200,a404b10500000004,a404b10600000009,a404b1070000001b,1.260041594505e-1,7f4d184087cb9c6c,37cc9a6b5961758a,170
27,9,1,4,600,a404b10500000005,a404b1060000000a,a404b1070000001c,7.945281863213e-1,b17bd9865b5db437,d758c24e9a8aade8,170
28,9,1,4,2400,a404b10500000005,a404b1060000000a,a404b1070000001d,4.343219995499e-1,92861a0de4cd6d90,4fa791af9c578850,170
29,9,1,4,4200,a404b10500000005,a404b1060000000a,a404b1070000001e,2.204222083092e-1,5f049856a22c691d,2c9f9df490ce66d4,170
30,10,2,0,600,a404b10500000001,a404b1060000000b,a404b1070000001f,9.391542077065e-1,288369a7681af8e9,41c43e18b50dcca4,170
31,10,2,0,2400,a404b10500000001,a404b1060000000b,a404b10700000020,6.454864144325e-1,94ce29719ef2bede,818e18c1d9c6f5be,170
32,10,2,0,4200,a404b10500000001,a404b1060000000b,a404b10700000021,3.279689252377e-1,c28c52bdfb1ef99d,2f7340323a8c2a04,170
33,11,2,1,600,a404b10500000002,a404b1060000000c,a404b10700000022,8.905846476555e-1,3f239a309c6f2c5e,39ad3217fc6913b6,170
34,11,2,1,2400,a404b10500000002,a404b1060000000c,a404b10700000023,7.122985720634e-1,335c57c57e014723,d3c7c3759f0fce4a,170
35,11,2,1,4200,a404b10500000002,a404b1060000000c,a404b10700000024,5.257708430290e-1,016227fa3cc7b425,541461d2ccf5dce8,170
36,12,2,2,600,a404b10500000003,a404b1060000000d,a404b10700000025,8.028997778893e-1,a3d619a3f88fdb3e,22547aa2ba493262,170
37,12,2,2,2400,a404b10500000003,a404b1060000000d,a404b10700000026,4.663638174534e-1,232e0a0d668ee354,69aae468f5cf5ba0,170
38,12,2,2,4200,a404b10500000003,a404b1060000000d,a404b10700000027,2.552772462368e-1,e45c1f596a81e58a,ab1aabcb49b05554,170
39,13,2,3,600,a404b10500000004,a404b1060000000e,a404b10700000028,9.509875774384e-1,70027b3372cf8cc0,0a27d1989d60723e,170
40,13,2,3,2400,a404b10500000004,a404b1060000000e,a404b10700000029,6.498069167137e-1,8f3f71da41e9092f,407499470cb2aa1c,170
41,13,2,3,4200,a404b10500000004,a404b1060000000e,a404b1070000002a,3.607967197895e-1,edff9558b5f4ddcd,c81482c97beb4eba,170
42,14,2,4,600,a404b10500000005,a404b1060000000f,a404b1070000002b,9.238860011101e-1,d35448726fb4901d,89e6d6157176607a,170
43,14,2,4,2400,a404b10500000005,a404b1060000000f,a404b1070000002c,5.597504973412e-1,0e2db3a2666d2352,c34ec664ba1e940c,170
44,14,2,4,4200,a404b10500000005,a404b1060000000f,a404b1070000002d,3.835544586182e-1,7255c46a57456266,e6293693c281d8b8,170
45,15,3,0,600,a404b10500000001,a404b10600000010,a404b1070000002e,8.376273512840e-1,4550c4ca3c224a69,41ab471c276bebf2,170
46,15,3,0,2400,a404b10500000001,a404b10600000010,a404b1070000002f,6.644033193588e-1,2e8670ae2d7792da,1d2caa673bf764d8,170
47,15,3,0,4200,a404b10500000001,a404b10600000010,a404b10700000030,3.652878701687e-1,0d15b0c3665ab997,ce9d760bbf3a21b8,170
48,16,3,1,600,a404b10500000002,a404b10600000011,a404b10700000031,7.947752475739e-1,944558935015d016,e4a3e5eb17ded9e4,170
49,16,3,1,2400,a404b10500000002,a404b10600000011,a404b10700000032,5.136892199516e-1,70d58d00d214885b,0389550b721d6904,170
50,16,3,1,4200,a404b10500000002,a404b10600000011,a404b10700000033,4.049747288227e-1,3d968dc49e5bf3cb,0e5544a8b322c1bc,170
51,17,3,2,600,a404b10500000003,a404b10600000012,a404b10700000034,8.241513371468e-1,6a18fa80ca50cbb8,b58f2cfaf92a1298,170
52,17,3,2,2400,a404b10500000003,a404b10600000012,a404b10700000035,5.246618390083e-1,474c76334b2bbed5,c507030878e35b26,170
53,17,3,2,4200,a404b10500000003,a404b10600000012,a404b10700000036,3.293731510639e-1,c912f97eaa88dd8f,a9d982eb406c5224,170
54,18,3,3,600,a404b10500000004,a404b10600000013,a404b10700000037,8.819954395294e-1,108a61458fdb340e,c934cd882609d162,170
55,18,3,3,2400,a404b10500000004,a404b10600000013,a404b10700000038,5.759432911873e-1,8907e29ae6088706,00539a5811c662d4,170
56,18,3,3,4200,a404b10500000004,a404b10600000013,a404b10700000039,2.995080053806e-1,82fdeaba4602ca6c,9d56f1d6a9159f04,170
57,19,3,4,600,a404b10500000005,a404b10600000014,a404b1070000003a,8.822193741798e-1,8434f416f600bf84,27374b0d841a49a8,170
58,19,3,4,2400,a404b10500000005,a404b10600000014,a404b1070000003b,4.880394935608e-1,062d87286f18f76f,04e3478877bd6424,170
59,19,3,4,4200,a404b10500000005,a404b10600000014,a404b1070000003c,2.143427133560e-1,b08ff16cde44ed5a,3ae1c44c1666c32a,170
60,20,4,0,600,a404b10500000001,a404b10600000015,a404b1070000003d,9.742432236671e-1,537ba4344f239c7f,e897e390a3da7184,170
61,20,4,0,2400,a404b10500000001,a404b10600000015,a404b1070000003e,6.936468482018e-1,5aea2c73cc305dd5,3f97ed4084c8be1a,170
62,20,4,0,4200,a404b10500000001,a404b10600000015,a404b1070000003f,3.493874967098e-1,7e77126b997040ed,7355b65b6279ca38,170
63,21,4,1,600,a404b10500000002,a404b10600000016,a404b10700000040,1.009689927101e0,605caf1b391adfb9,102c90f56d878aa2,170
64,21,4,1,2400,a404b10500000002,a404b10600000016,a404b10700000041,6.054368615150e-1,c80f35335750f084,ef53813d3efad472,170
65,21,4,1,4200,a404b10500000002,a404b10600000016,a404b10700000042,3.413066864014e-1,cb455556848c0435,ac0c12ef177d32d8,170
66,22,4,2,600,a404b10500000003,a404b10600000017,a404b10700000043,9.059064388275e-1,e646a0a476bf33b7,c632ba22655d2f18,170
67,22,4,2,2400,a404b10500000003,a404b10600000017,a404b10700000044,4.003669321537e-1,36783f7e1144fe3a,2302b3296c3f2284,170
68,22,4,2,4200,a404b10500000003,a404b10600000017,a404b10700000045,2.190603017807e-1,209c4b2365f613e5,bc6532c9babb23b6,170
69,23,4,3,600,a404b10500000004,a404b10600000018,a404b10700000046,9.588814377785e-1,ec5e46ea63f60373,6cefac28498de5c2,170
70,23,4,3,2400,a404b10500000004,a404b10600000018,a404b10700000047,5.773254036903e-1,79485b6044a24996,21631506c4e5613c,170
71,23,4,3,4200,a404b10500000004,a404b10600000018,a404b10700000048,2.912897765636e-1,3534b477b269f585,ac58968cabdaa20a,170
72,24,4,4,600,a404b10500000005,a404b10600000019,a404b10700000049,9.091718196869e-1,8ef36d71db5466c9,4ca8447acf8760ac,170
73,24,4,4,2400,a404b10500000005,a404b10600000019,a404b1070000004a,5.439390540123e-1,90b250fcf0294a4e,81fcc0551b1932bc,170
74,24,4,4,4200,a404b10500000005,a404b10600000019,a404b1070000004b,3.689213991165e-1,f0a28eef563f5d79,246e3cc8c301100e,170
