cell_id,training_full96,sentinel_fixed128,sentinel_rotating128,fixed_minus_training,rotating_minus_training
0,3.818062067032e0,3.097094535828e0,7.989400029182e-1,-7.209675312042e-1,-3.019122064114e0
1,3.466397047043e0,3.592313766479e0,7.371518611908e-1,1.259167194366e-1,-2.729245185852e0
2,6.044033050537e0,3.787373304367e0,7.449162602425e-1,-2.256659746170e0,-5.299116790295e0
3,4.685367107391e0,2.104849100113e0,8.482728004456e-1,-2.580518007278e0,-3.837094306946e0
4,4.677083969116e0,2.668697357178e0,7.988860011101e-1,-2.008386611938e0,-3.878197968006e0
5,5.634772777557e0,2.560495138168e0,8.068732619286e-1,-3.074277639389e0,-4.827899515629e0
6,3.676360368729e0,3.557227849960e0,7.978730201721e-1,-1.191325187683e-1,-2.878487348557e0
7,4.685892581940e0,1.954420924187e0,7.807118892670e-1,-2.731471657753e0,-3.905180692673e0
8,4.378973007202e0,3.165782690048e0,7.642641663551e-1,-1.213190317154e0,-3.614708840847e0
9,8.093634605408e0,4.513764381409e0,7.540218830109e-1,-3.579870223999e0,-7.339612722397e0
10,3.851713895798e0,6.073266983032e0,7.458360195160e-1,2.221553087234e0,-3.105877876282e0
11,3.483954191208e0,3.579360961914e0,8.036136031151e-1,9.540677070618e-2,-2.680340588093e0
12,5.359984874725e0,2.863713026047e0,7.363725304604e-1,-2.496271848679e0,-4.623612344265e0
13,5.301595211029e0,2.212088823318e0,6.455942988396e-1,-3.089506387711e0,-4.656000912189e0
14,6.273269176483e0,3.947388410568e0,7.300789356232e-1,-2.325880765915e0,-5.543190240860e0
15,5.325850963593e0,2.920515298843e0,7.209014296532e-1,-2.405335664749e0,-4.604949533939e0
16,4.242086410522e0,2.376873016357e0,8.472356796265e-1,-1.865213394165e0,-3.394850730896e0
17,3.975827455521e0,3.588297128677e0,6.937718391418e-1,-3.875303268433e-1,-3.282055616379e0
18,3.913661718369e0,2.473683118820e0,8.618254661560e-1,-1.439978599548e0,-3.051836252213e0
19,6.982946395874e0,3.245633125305e0,7.252593040466e-1,-3.737313270569e0,-6.257687091827e0
20,4.456716060638e0,2.875885963440e0,7.948105335236e-1,-1.580830097198e0,-3.661905527115e0
21,4.772633075714e0,3.572931051254e0,7.656186223030e-1,-1.199702024460e0,-4.007014453411e0
22,6.327699184418e0,4.964460849762e0,7.989757061005e-1,-1.363238334656e0,-5.528723478317e0
23,4.516714096069e0,2.520071506500e0,8.342594504356e-1,-1.996642589569e0,-3.682454645634e0
24,5.605850696564e0,2.000263214111e0,6.641265153885e-1,-3.605587482452e0,-4.941724181175e0
