cell_id,arm,step,train_loss,parameter_offset,parameter_count
0,training_full96,0,1.101016998291e0,0,171
0,training_full96,600,6.771399378777e-1,684,171
0,training_full96,2400,5.212425813079e-2,1368,171
0,training_full96,4200,1.711472868919e-3,2052,171
0,sentinel_fixed128,0,1.101016998291e0,2736,171
0,sentinel_fixed128,600,9.191951155663e-1,3420,171
0,sentinel_fixed128,2400,1.564342617989e0,4104,171
0,sentinel_fixed128,4200,3.241980314255e0,4788,171
0,sentinel_rotating128,0,1.101016998291e0,5472,171
0,sentinel_rotating128,600,9.471099972725e-1,6156,171
0,sentinel_rotating128,2400,6.833466887474e-1,6840,171
0,sentinel_rotating128,4200,5.967563986778e-1,7524,171
1,training_full96,0,1.120658755302e0,8208,171
1,training_full96,600,7.596281170845e-1,8892,171
1,training_full96,2400,1.790014654398e-1,9576,171
1,training_full96,4200,1.810750737786e-2,10260,171
1,sentinel_fixed128,0,1.120658755302e0,10944,171
1,sentinel_fixed128,600,9.590606093407e-1,11628,171
1,sentinel_fixed128,2400,1.139725685120e0,12312,171
1,sentinel_fixed128,4200,1.383802294731e0,12996,171
1,sentinel_rotating128,0,1.120658755302e0,13680,171
1,sentinel_rotating128,600,9.521592259407e-1,14364,171
1,sentinel_rotating128,2400,8.315994739532e-1,15048,171
1,sentinel_rotating128,4200,6.889788508415e-1,15732,171
2,training_full96,0,1.082196831703e0,16416,171
2,training_full96,600,6.156573891640e-1,17100,171
2,training_full96,2400,2.548211626709e-2,17784,171
2,training_full96,4200,4.417200980242e-4,18468,171
2,sentinel_fixed128,0,1.082196831703e0,19152,171
2,sentinel_fixed128,600,8.640899658203e-1,19836,171
2,sentinel_fixed128,2400,1.707268595695e0,20520,171
2,sentinel_fixed128,4200,2.888685941696e0,21204,171
2,sentinel_rotating128,0,1.082196831703e0,21888,171
2,sentinel_rotating128,600,9.228990077972e-1,22572,171
2,sentinel_rotating128,2400,6.557502746582e-1,23256,171
2,sentinel_rotating128,4200,5.295712351799e-1,23940,171
3,training_full96,0,1.094594120979e0,24624,171
3,training_full96,600,7.094629406929e-1,25308,171
3,training_full96,2400,2.952261269093e-2,25992,171
3,training_full96,4200,7.271269714693e-5,26676,171
3,sentinel_fixed128,0,1.094594120979e0,27360,171
3,sentinel_fixed128,600,1.254976868629e0,28044,171
3,sentinel_fixed128,2400,1.441972851753e0,28728,171
3,sentinel_fixed128,4200,2.120992660522e0,29412,171
3,sentinel_rotating128,0,1.094594120979e0,30096,171
3,sentinel_rotating128,600,9.512578845024e-1,30780,171
3,sentinel_rotating128,2400,7.646295428276e-1,31464,171
3,sentinel_rotating128,4200,6.563212275505e-1,32148,171
4,training_full96,0,1.085538744926e0,32832,171
4,training_full96,600,6.691824793816e-1,33516,171
4,training_full96,2400,6.082027778029e-2,34200,171
4,training_full96,4200,1.828869244491e-5,34884,171
4,sentinel_fixed128,0,1.085538744926e0,35568,171
4,sentinel_fixed128,600,9.063090682030e-1,36252,171
4,sentinel_fixed128,2400,1.460928320885e0,36936,171
4,sentinel_fixed128,4200,2.445329666138e0,37620,171
4,sentinel_rotating128,0,1.085538744926e0,38304,171
4,sentinel_rotating128,600,9.327630400658e-1,38988,171
4,sentinel_rotating128,2400,7.192516326904e-1,39672,171
4,sentinel_rotating128,4200,6.116062402725e-1,40356,171
5,training_full96,0,1.101016998291e0,41040,171
5,training_full96,600,6.818297505379e-1,41724,171
5,training_full96,2400,2.024816349149e-2,42408,171
5,training_full96,4200,3.765995206777e-4,43092,171
5,sentinel_fixed128,0,1.101016998291e0,43776,171
5,sentinel_fixed128,600,9.789874553680e-1,44460,171
5,sentinel_fixed128,2400,1.517036318779e0,45144,171
5,sentinel_fixed128,4200,1.975476384163e0,45828,171
5,sentinel_rotating128,0,1.101016998291e0,46512,171
5,sentinel_rotating128,600,9.091477990150e-1,47196,171
5,sentinel_rotating128,2400,6.677905917168e-1,47880,171
5,sentinel_rotating128,4200,6.272715926170e-1,48564,171
6,training_full96,0,1.120658755302e0,49248,171
6,training_full96,600,7.543883919716e-1,49932,171
6,training_full96,2400,1.052945777774e-1,50616,171
6,training_full96,4200,5.658455193043e-3,51300,171
6,sentinel_fixed128,0,1.120658755302e0,51984,171
6,sentinel_fixed128,600,1.053857922554e0,52668,171
6,sentinel_fixed128,2400,1.614525794983e0,53352,171
6,sentinel_fixed128,4200,2.714770555496e0,54036,171
6,sentinel_rotating128,0,1.120658755302e0,54720,171
6,sentinel_rotating128,600,9.498214721680e-1,55404,171
6,sentinel_rotating128,2400,8.661802411079e-1,56088,171
6,sentinel_rotating128,4200,7.631521224976e-1,56772,171
7,training_full96,0,1.082196831703e0,57456,171
7,training_full96,600,6.040654778481e-1,58140,171
7,training_full96,2400,4.340769723058e-2,58824,171
7,training_full96,4200,3.826667962130e-4,59508,171
7,sentinel_fixed128,0,1.082196831703e0,60192,171
7,sentinel_fixed128,600,8.815455436707e-1,60876,171
7,sentinel_fixed128,2400,1.680374979973e0,61560,171
7,sentinel_fixed128,4200,2.458227872849e0,62244,171
7,sentinel_rotating128,0,1.082196831703e0,62928,171
7,sentinel_rotating128,600,9.310013651848e-1,63612,171
7,sentinel_rotating128,2400,7.192149162292e-1,64296,171
7,sentinel_rotating128,4200,6.474986672401e-1,64980,171
8,training_full96,0,1.094594120979e0,65664,171
8,training_full96,600,7.222175598145e-1,66348,171
8,training_full96,2400,4.360809549689e-2,67032,171
8,training_full96,4200,1.858788746176e-4,67716,171
8,sentinel_fixed128,0,1.094594120979e0,68400,171
8,sentinel_fixed128,600,9.929381012917e-1,69084,171
8,sentinel_fixed128,2400,1.259961247444e0,69768,171
8,sentinel_fixed128,4200,2.242611169815e0,70452,171
8,sentinel_rotating128,0,1.094594120979e0,71136,171
8,sentinel_rotating128,600,9.621590971947e-1,71820,171
8,sentinel_rotating128,2400,7.518570423126e-1,72504,171
8,sentinel_rotating128,4200,6.016808152199e-1,73188,171
9,training_full96,0,1.085538744926e0,73872,171
9,training_full96,600,6.778094172478e-1,74556,171
9,training_full96,2400,3.060808591545e-2,75240,171
9,training_full96,4200,1.429319381714e-4,75924,171
9,sentinel_fixed128,0,1.085538744926e0,76608,171
9,sentinel_fixed128,600,9.457681179047e-1,77292,171
9,sentinel_fixed128,2400,1.757028937340e0,77976,171
9,sentinel_fixed128,4200,3.610339879990e0,78660,171
9,sentinel_rotating128,0,1.085538744926e0,79344,171
9,sentinel_rotating128,600,9.206458926201e-1,80028,171
9,sentinel_rotating128,2400,7.224147915840e-1,80712,171
9,sentinel_rotating128,4200,6.958346962929e-1,81396,171
10,training_full96,0,1.101016998291e0,82080,171
10,training_full96,600,6.717435717583e-1,82764,171
10,training_full96,2400,2.082098834217e-2,83448,171
10,training_full96,4200,2.840608358383e-4,84132,171
10,sentinel_fixed128,0,1.101016998291e0,84816,171
10,sentinel_fixed128,600,9.094097614288e-1,85500,171
10,sentinel_fixed128,2400,1.714658141136e0,86184,171
10,sentinel_fixed128,4200,3.807005882263e0,86868,171
10,sentinel_rotating128,0,1.101016998291e0,87552,171
10,sentinel_rotating128,600,9.550154805183e-1,88236,171
10,sentinel_rotating128,2400,7.215439677238e-1,88920,171
10,sentinel_rotating128,4200,6.302803158760e-1,89604,171
11,training_full96,0,1.120658755302e0,90288,171
11,training_full96,600,7.573636174202e-1,90972,171
11,training_full96,2400,8.398521691561e-2,91656,171
11,training_full96,4200,3.370170714334e-3,92340,171
11,sentinel_fixed128,0,1.120658755302e0,93024,171
