dataset_id,kind,seed,samples,path,sha256
0,training,a404c10100000001,96,data/training-00.bin,c3811c2e9bbd7afa47e532065148bc3ed9429804ac1a41089cf95c4694d72724
0,final_measurement,a404c10200000001,96,data/final-measurement-00.bin,ea9bd65a4292600d1cb86208cdd7598a4b458c241958f3951c89b7dcf8fc42c0
1,training,a404c10100000002,96,data/training-01.bin,9ab0180e3a157357401f0a9d206e7a4223e89ee95ae13a2a8bbec1bdd5cfaed3
1,final_measurement,a404c10200000002,96,data/final-measurement-01.bin,1861356c45918c462110d07e0554cc8f1ee0b92ba493742b026fd7d1ea7e9159
2,training,a404c10100000003,96,data/training-02.bin,531fbc7fc27b8b1dd9087320d75966af269dcdc08a689278842964636f14b564
2,final_measurement,a404c10200000003,96,data/final-measurement-02.bin,fa2170a81888710d18f28f8264968be6182931fbc4921f5c64c32092c152366a
3,training,a404c10100000004,96,data/training-03.bin,621c10fa1def99a602eb8bdbf1030eec5886ef29bac3c55f98584426affe6d6f
3,final_measurement,a404c10200000004,96,data/final-measurement-03.bin,61309d63d215b658abd32c1cb4a741d44887b3df9dcd3f6aba9f5c0aeef42b2e
4,training,a404c10100000005,96,data/training-04.bin,68323d2d6872f12ee2bdd6666eb1a7422e5364ff2a4b7f849f3f5e5d1179c76f
4,final_measurement,a404c10200000005,96,data/final-measurement-04.bin,92e0158bf0f0ace840aa641ab0feb3655582594ff2a3f1b54008aba68f912ecd
