cell_id,dataset_id,initialization_id,seed_a,seed_b,order_seed,samples,path,sha256
0,0,0,a404c10500000001,a404c10500000002,a404c10700000001,128,data/fixed-cell-00.bin,aa36bac1349287a898d19b00c49f995efe6ea8734ac536c5f36e34552ce51210
1,0,1,a404c10500000003,a404c10500000004,a404c10700000002,128,data/fixed-cell-01.bin,11b198a173696cd2e6b436d084d72d0a321d803b81bc9b554c8386f170f29e76
2,0,2,a404c10500000005,a404c10500000006,a404c10700000003,128,data/fixed-cell-02.bin,7bd1ab7d48e409a23656614d5d29c3ade091f657ce4cf2e875613ac07595fd47
3,0,3,a404c10500000007,a404c10500000008,a404c10700000004,128,data/fixed-cell-03.bin,3c2d1cec96408e8b64f8b0d1e3a1314dd45f2847c1c5769779d88afde0807420
4,0,4,a404c10500000009,a404c1050000000a,a404c10700000005,128,data/fixed-cell-04.bin,baad488bff3cc729fbc302cffd64861bc79c99652426e09a086a78f0fe07d354
5,1,0,a404c1050000000b,a404c1050000000c,a404c10700000006,128,data/fixed-cell-05.bin,bb42e7a650834ca0f81b1ebb1e3ff2e9cbf0e30f89efc31952cb7b61c5171458
6,1,1,a404c1050000000d,a404c1050000000e,a404c10700000007,128,data/fixed-cell-06.bin,d8c5d17a93d2a1f2a1e192c4ef2b874c9ca114e9b1319bf0ca112446d2cae848
7,1,2,a404c1050000000f,a404c10500000010,a404c10700000008,128,data/fixed-cell-07.bin,b06af2d29390b6f522450f9548282ea56ada6e60250f47fc5cc214f1576889ba
8,1,3,a404c10500000011,a404c10500000012,a404c10700000009,128,data/fixed-cell-08.bin,99b3ad985524d458443506e874ac2af178085cbf8bb5cc301b98aa91601244ee
9,1,4,a404c10500000013,a404c10500000014,a404c1070000000a,128,data/fixed-cell-09.bin,440796294eef5507756f460706a2a578dd2de2d968e059c836d189b59b6f665e
10,2,0,a404c10500000015,a404c10500000016,a404c1070000000b,128,data/fixed-cell-10.bin,b876f4ea94a6d75759cc4f251776812e3509ab3855e0d254da94bf0d8a372dc7
11,2,1,a404c10500000017,a404c10500000018,a404c1070000000c,128,data/fixed-cell-11.bin,75825d13278673286f0c56d055a2cf4e9e0414a6cc72069002073638f4a944e7
12,2,2,a404c10500000019,a404c1050000001a,a404c1070000000d,128,data/fixed-cell-12.bin,2654509445205b85fe383d581c755a9c4749c8c2d5936aa9e8f3b2f12792e95f
13,2,3,a404c1050000001b,a404c1050000001c,a404c1070000000e,128,data/fixed-cell-13.bin,aac02f10d1233b456db630083677b7bfc25bc1b72f320dcf8d42a6f0c7e892ee
14,2,4,a404c1050000001d,a404c1050000001e,a404c1070000000f,128,data/fixed-cell-14.bin,974b13d6865558ab9fe52d60776b957207047ca1caf69044263cb13aef60e8a2
15,3,0,a404c1050000001f,a404c10500000020,a404c10700000010,128,data/fixed-cell-15.bin,f447f6b083f5874963c87ee0755d0d360ddde7a29c960068b513b85f3ffa33b1
16,3,1,a404c10500000021,a404c10500000022,a404c10700000011,128,data/fixed-cell-16.bin,f54ec9a88d750b0294cc0a0792b57c458d55cd2d7fbd6f9d25f706822f494254
17,3,2,a404c10500000023,a404c10500000024,a404c10700000012,128,data/fixed-cell-17.bin,8e758f3876a4a7ef426bdc101f47c1a10dd239ef2bab16235691cc80b71c2d92
18,3,3,a404c10500000025,a404c10500000026,a404c10700000013,128,data/fixed-cell-18.bin,3cdc4f76499d9225ce28182d6059c9f47ba729f5bc1477b9e96c27dbe54907d7
19,3,4,a404c10500000027,a404c10500000028,a404c10700000014,128,data/fixed-cell-19.bin,41b64915fa434a58318702d322f9cc4e48f49da91d4eb0ee7bb954f0fc095443
20,4,0,a404c10500000029,a404c1050000002a,a404c10700000015,128,data/fixed-cell-20.bin,bdb858280c10f47778bd7161edb613c306b9a30b6ab6f89feff3932495b821ca
21,4,1,a404c1050000002b,a404c1050000002c,a404c10700000016,128,data/fixed-cell-21.bin,49853e047f24c0d8f99205c4ecc23eec22dfbaa0f4371dda9e8e62986d2a44fe
22,4,2,a404c1050000002d,a404c1050000002e,a404c10700000017,128,data/fixed-cell-22.bin,da13d03342e2826c434aa33991cf767b0b89b8b08ca82d00fde083e451e46fa9
23,4,3,a404c1050000002f,a404c10500000030,a404c10700000018,128,data/fixed-cell-23.bin,685a9d554bde1e29404119f4a093719e2644fd2ad3998cb24fcdbf902e21e90b
24,4,4,a404c10500000031,a404c10500000032,a404c10700000019,128,data/fixed-cell-24.bin,f4289366d0431a81e5c360b74720082184288e5a5555f6b2ef487be7b018d4f3
