cell_id,arm,step,train_loss,model_offset,model_bytes
0,sentinel_k1,0,1.096639037,0,684
0,sentinel_k1,600,1.228090167,684,684
0,sentinel_k1,2400,1.942408681,1368,684
0,sentinel_k1,4200,3.512645006,2052,684
0,sentinel_k4_cyclic,0,1.096639037,2736,684
0,sentinel_k4_cyclic,600,1.006976008,3420,684
0,sentinel_k4_cyclic,2400,0.838593781,4104,684
0,sentinel_k4_cyclic,4200,0.747634947,4788,684
0,sentinel_k16_cyclic,0,1.096639037,5472,684
0,sentinel_k16_cyclic,600,1.038884759,6156,684
0,sentinel_k16_cyclic,2400,0.757939517,6840,684
0,sentinel_k16_cyclic,4200,0.686744869,7524,684
0,sentinel_k16_blocked,0,1.096639037,8208,684
0,sentinel_k16_blocked,600,1.017562389,8892,684
0,sentinel_k16_blocked,2400,0.780050218,9576,684
0,sentinel_k16_blocked,4200,0.810451090,10260,684
0,sentinel_k16_pooled,0,1.096639037,10944,684
0,sentinel_k16_pooled,600,0.910860777,11628,684
0,sentinel_k16_pooled,2400,0.638507962,12312,684
0,sentinel_k16_pooled,4200,0.623537064,12996,684
0,sentinel_k64_cyclic,0,1.096639037,13680,684
0,sentinel_k64_cyclic,600,0.999167025,14364,684
0,sentinel_k64_cyclic,2400,0.851749361,15048,684
0,sentinel_k64_cyclic,4200,0.639901817,15732,684
0,sentinel_fresh,0,1.096639037,16416,684
0,sentinel_fresh,600,1.006198049,17100,684
0,sentinel_fresh,2400,0.765900075,17784,684
0,sentinel_fresh,4200,0.555827022,18468,684
1,sentinel_k1,0,1.085941672,19152,684
1,sentinel_k1,600,1.021190524,19836,684
1,sentinel_k1,2400,1.606268287,20520,684
1,sentinel_k1,4200,2.377974272,21204,684
1,sentinel_k4_cyclic,0,1.085941672,21888,684
1,sentinel_k4_cyclic,600,0.941476583,22572,684
1,sentinel_k4_cyclic,2400,0.892601907,23256,684
1,sentinel_k4_cyclic,4200,0.749949634,23940,684
1,sentinel_k16_cyclic,0,1.085941672,24624,684
1,sentinel_k16_cyclic,600,0.939884007,25308,684
1,sentinel_k16_cyclic,2400,0.858337164,25992,684
1,sentinel_k16_cyclic,4200,0.780744731,26676,684
1,sentinel_k16_blocked,0,1.085941672,27360,684
1,sentinel_k16_blocked,600,0.891236365,28044,684
1,sentinel_k16_blocked,2400,0.855102539,28728,684
1,sentinel_k16_blocked,4200,0.796692550,29412,684
1,sentinel_k16_pooled,0,1.085941672,30096,684
1,sentinel_k16_pooled,600,0.881062746,30780,684
1,sentinel_k16_pooled,2400,0.514646351,31464,684
1,sentinel_k16_pooled,4200,0.514537215,32148,684
1,sentinel_k64_cyclic,0,1.085941672,32832,684
1,sentinel_k64_cyclic,600,0.941631556,33516,684
1,sentinel_k64_cyclic,2400,0.860176086,34200,684
1,sentinel_k64_cyclic,4200,0.715845108,34884,684
1,sentinel_fresh,0,1.085941672,35568,684
1,sentinel_fresh,600,0.956098795,36252,684
1,sentinel_fresh,2400,0.807241857,36936,684
1,sentinel_fresh,4200,0.731032133,37620,684
2,sentinel_k1,0,1.107666850,38304,684
2,sentinel_k1,600,1.032068610,38988,684
