dataset_id,kind,seed,samples,path,sha256
0,training,a404d40100000001,96,data/training-00.bin,28495d5bb9014e8b2396d3ab7c2c7847911fbe7f3dd18c2439d8330cc1a5c61c
0,final_measurement,a404d40200000001,96,data/final-measurement-00.bin,2910031088b77896e6233f38999f5e8d707feadf4cfaa084c90fd37527515455
0,population_reference,a404d40700000001,4096,data/population-00.bin,09770752e458844a8da09fe46ce3ddf16e4240bebc8d57cd6c22906c97220c3a
1,training,a404d40100000002,96,data/training-01.bin,00883e900ac0a5e2b200f5b6c1eb7b7c31993ac2e5f7a0d0f5c0419711708d3e
1,final_measurement,a404d40200000002,96,data/final-measurement-01.bin,7180c7b7ba6d98684955619ee68c8b2f513dd4d8ea3058e870a35f63fca9786e
1,population_reference,a404d4070000002c,4096,data/population-01.bin,86406ea395a7f1016089a3fe87f382703e06fdb53b016276e16169d2b1a6060e
2,training,a404d40100000003,96,data/training-02.bin,2296b47b9a05d7e624cafcc9abd1707d83e312d1c1a5505bf5b63d3f69f78f7b
2,final_measurement,a404d40200000003,96,data/final-measurement-02.bin,8d7d311474ae277751bcafd40e0403cb821fc5115a72e4b19cd26b36d1629e05
2,population_reference,a404d40700000057,4096,data/population-02.bin,89c844cb4031785719de56e92fe3b9343c146c2e5e88f2844f5226a24347bc09
3,training,a404d40100000004,96,data/training-03.bin,938bf85b18fcf5455e34ec146602ae4bb052f18a2182433503e5a2b7763b69f4
3,final_measurement,a404d40200000004,96,data/final-measurement-03.bin,190442f06857f09e12c413a98223594bb25cd938dcda6bceedff220368e3e530
3,population_reference,a404d40700000082,4096,data/population-03.bin,17fc2f85af65e21349c8ff25478ac0ac7142b8cb0b6015d88ff16d97beb53838
4,training,a404d40100000005,96,data/training-04.bin,c5cc070c8f53c3db95f8e1ba112b84e68b862b3b075393b9d4f7e21775bd2c83
4,final_measurement,a404d40200000005,96,data/final-measurement-04.bin,44b7b35031ac3e0237b8dd8ce1fe47737ddbd33d8f417b7170fdf940dc2c80d5
4,population_reference,a404d407000000ad,4096,data/population-04.bin,92c56767ac277b57bc7195553502ae685bc947432486e6091cb25d0f1633612f
