cell_id,dataset_id,initialization_id,source_first_panel,source_panel_count,samples,fingerprint
0,0,0,0,16,2048,f4af438af45f1557
1,0,1,0,16,2048,f6cb3e7154e45b49
2,0,2,0,16,2048,d048a33f97956037
3,0,3,0,16,2048,516ee3d86f4daf28
4,0,4,0,16,2048,4f717e292a8a984a
5,1,0,0,16,2048,12f0d094b19bf7e7
6,1,1,0,16,2048,7b4339dfd197abbb
7,1,2,0,16,2048,51699eaacc5867ff
8,1,3,0,16,2048,2a0010964a2ab9bd
9,1,4,0,16,2048,e616ed1f1e630059
10,2,0,0,16,2048,c84b7b5bd0b6ba74
11,2,1,0,16,2048,7db1d13862c76c94
12,2,2,0,16,2048,f0d40b869ef3dfac
13,2,3,0,16,2048,0dc8309415fb15d8
14,2,4,0,16,2048,cdec5248763aefbe
15,3,0,0,16,2048,8fc987c22096a13f
16,3,1,0,16,2048,aec059b1493677e2
17,3,2,0,16,2048,619fa6545156d2ce
18,3,3,0,16,2048,e7a1f67db502ad45
19,3,4,0,16,2048,bc5c3dd5a88ba09b
20,4,0,0,16,2048,ad1abf26e81607a3
21,4,1,0,16,2048,e0f6be08810bd9dd
22,4,2,0,16,2048,b0e033520ae4dd79
23,4,3,0,16,2048,4470316f401426c5
24,4,4,0,16,2048,81f7df8ec8050b59
