epoch,category,count,harmful_pairs,synergistic_pairs,harmful_rate,synergistic_rate,mean_interaction,mean_absolute_interaction,q90_absolute_interaction,q95_absolute_interaction,max_absolute_interaction,null_mean_absolute,null_q95_mean_absolute,observed_over_null,empirical_p_ge_observed
0,same-hidden-unit,12,4,1,0.33333334,0.08333334,0.00000291,0.00000353,0.00001168,0.00001168,0.00001216,0.00000504,0.00001113,0.69993424,0.64522415
0,different-hidden-units,54,4,6,0.07407407,0.11111111,-0.00000019,0.00000129,0.00000745,0.00000751,0.00000960,0.00000514,0.00000786,0.25082082,0.99805069
0,w1-b1-same-unit,8,3,1,0.37500000,0.12500000,0.00000364,0.00000456,0.00001168,0.00001216,0.00001216,0.00000511,0.00001236,0.89273578,0.46393761
0,w1-w1-same-unit,4,1,0,0.25000000,0.00000000,0.00000146,0.00000146,0.00000584,0.00000584,0.00000584,0.00000490,0.00001419,0.29801035,0.70370370
0,cross-layer,60,13,14,0.21666667,0.23333333,0.00000298,0.00000874,0.00003248,0.00004840,0.00005239,0.00000513,0.00000696,1.70326293,0.00389864
0,other,10,2,6,0.20000000,0.60000002,0.00000155,0.00000603,0.00001061,0.00003755,0.00003755,0.00000507,0.00001271,1.18903065,0.32163742
100,same-hidden-unit,12,4,0,0.33333334,0.00000000,0.00010201,0.00010201,0.00009829,0.00009829,0.00107044,0.00001931,0.00009792,5.28320551,0.02729045
100,different-hidden-units,54,4,2,0.07407407,0.03703704,0.00000131,0.00000751,0.00003013,0.00006008,0.00011790,0.00001771,0.00003673,0.42420197,0.79727095
100,w1-b1-same-unit,8,3,0,0.37500000,0.00000000,0.00015070,0.00015070,0.00009829,0.00107044,0.00107044,0.00002039,0.00013663,7.39180899,0.01364522
100,w1-w1-same-unit,4,1,0,0.25000000,0.00000000,0.00000462,0.00000462,0.00001848,0.00001848,0.00001848,0.00001715,0.00003617,0.26937422,0.67056531
100,cross-layer,60,15,5,0.25000000,0.08333334,0.00001040,0.00001384,0.00004461,0.00006458,0.00010368,0.00002009,0.00003229,0.68868607,0.59064329
100,other,10,3,3,0.30000001,0.30000001,0.00000853,0.00001167,0.00002769,0.00005448,0.00005448,0.00001830,0.00010978,0.63770181,0.42105263
1000,same-hidden-unit,12,3,0,0.25000000,0.00000000,0.00002742,0.00002742,0.00000789,0.00000789,0.00031678,0.00000242,0.00002640,11.32890987,0.00974659
1000,different-hidden-units,54,1,0,0.01851852,0.00000000,0.00000001,0.00000001,0.00000000,0.00000000,0.00000077,0.00000264,0.00000655,0.00538158,0.91228068
1000,w1-b1-same-unit,8,2,0,0.25000000,0.00000000,0.00004058,0.00004058,0.00000789,0.00031678,0.00031678,0.00000217,0.00000265,18.66818810,0.00779727
1000,w1-w1-same-unit,4,1,0,0.25000000,0.00000000,0.00000111,0.00000111,0.00000442,0.00000442,0.00000442,0.00000291,0.00000419,0.37932733,0.14619882
1000,cross-layer,60,3,0,0.05000000,0.00000000,0.00000048,0.00000048,0.00000000,0.00000003,0.00001674,0.00000264,0.00000577,0.18323052,0.72709554
1000,other,10,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000289,0.00003168,0.00000000,1.00000000
3000,same-hidden-unit,12,3,0,0.25000000,0.00000000,0.00002742,0.00002742,0.00000789,0.00000789,0.00031678,0.00000215,0.00002640,12.74441433,0.01169591
3000,different-hidden-units,54,1,0,0.01851852,0.00000000,0.00000001,0.00000001,0.00000000,0.00000000,0.00000077,0.00000258,0.00000657,0.00549850,0.94346976
3000,w1-b1-same-unit,8,2,0,0.25000000,0.00000000,0.00004058,0.00004058,0.00000789,0.00031678,0.00031678,0.00000237,0.00003960,17.10163689,0.00389864
3000,w1-w1-same-unit,4,1,0,0.25000000,0.00000000,0.00000111,0.00000111,0.00000442,0.00000442,0.00000442,0.00000171,0.00000205,0.64669579,0.14424951
3000,cross-layer,60,3,0,0.05000000,0.00000000,0.00000048,0.00000048,0.00000000,0.00000003,0.00001674,0.00000288,0.00000577,0.16802689,0.70760232
3000,other,10,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000208,0.00003168,0.00000000,1.00000000
