adapter_seed,teacher_seed,learner_seed,paired_delta
1101,6101,7101,1.5112174699960512e-06
1101,6101,7102,1.3400580869932233e-05
1101,6101,7103,2.1058139777124785e-05
1101,6101,7104,-2.3724343635428413e-05
1101,6102,7101,-7.853649373462668e-05
1101,6102,7102,-1.1864177695830591e-06
1101,6102,7103,-1.183694937276214e-05
1101,6102,7104,5.53448527840783e-05
1101,6103,7101,1.4096751140668662e-05
1101,6103,7102,2.3698255561255266e-06
1101,6103,7103,-1.7326394518957233e-05
1101,6103,7104,1.1675917423681348e-05
1101,6104,7101,3.6767770957346624e-05
1101,6104,7102,3.439762277845926e-06
1101,6104,7103,3.0854148347359e-07
1101,6104,7104,-2.8385328749436223e-05
1102,6101,7101,-1.243883315621419e-05
1102,6101,7102,-3.819253854805971e-05
1102,6101,7103,1.4574613472817521e-05
1102,6101,7104,1.3554394960035854e-05
1102,6102,7101,-3.416459472305178e-05
1102,6102,7102,-1.6173983314049512e-06
1102,6102,7103,-1.555300739525256e-05
1102,6102,7104,-1.7968022442194087e-05
1102,6103,7101,9.864810487703046e-06
1102,6103,7102,3.661524753562073e-05
1102,6103,7103,4.8527188379887676e-06
1102,6103,7104,-1.3921444509235048e-05
1102,6104,7101,7.105094024073555e-06
1102,6104,7102,-4.151857882384036e-06
1102,6104,7103,-7.24966691179052e-06
1102,6104,7104,-4.7863122252245205e-06
1103,6101,7101,-9.021883199067382e-06
1103,6101,7102,1.3035229770835821e-05
1103,6101,7103,2.5293245375507256e-05
1103,6101,7104,-3.392579026340048e-05
1103,6102,7101,-1.2305704504361747e-05
1103,6102,7102,-1.1821047156912456e-05
1103,6102,7103,7.783097045910292e-06
1103,6102,7104,-1.2328390039506587e-05
1103,6103,7101,-1.8516489541819947e-05
1103,6103,7102,2.5713564608842443e-05
1103,6103,7103,-1.5096396245861676e-06
1103,6103,7104,1.3046582122422379e-06
1103,6104,7101,-2.373609080941197e-05
1103,6104,7102,-4.053449578045321e-06
1103,6104,7103,1.9558320034807064e-05
1103,6104,7104,8.573837620035052e-05
1104,6101,7101,-2.6961410403814057e-05
1104,6101,7102,-3.423401904162349e-05
1104,6101,7103,1.2075709890035924e-05
1104,6101,7104,1.7410281269614192e-05
1104,6102,7101,4.949142845905863e-06
1104,6102,7102,-1.0898195451081172e-06
1104,6102,7103,6.40563000212091e-06
1104,6102,7104,-3.458988441032429e-05
1104,6103,7101,-4.776085490931781e-06
1104,6103,7102,2.673005273995388e-05
1104,6103,7103,3.0026869489496733e-05
1104,6103,7104,-4.049835783132005e-05
1104,6104,7101,6.060746886027424e-06
1104,6104,7102,2.1392639508177602e-05
1104,6104,7103,-8.840892964934177e-07
1104,6104,7104,-1.7695748424528812e-05
