fit_id,operator_id,arm,adapter_seed,graph_realization,control_seed,teacher_seed,learner_seed,status,heldout_bce,heldout_accuracy,final_train_loss
"malecns-a1101-gx-cx-t6101-l7101","malecns-a1101-gx-cx","malecns",1101,,,6101,7101,"complete",0.2510011143815212,0.90869140625,0.06219957695147138
"malecns-a1101-gx-cx-t6101-l7102","malecns-a1101-gx-cx","malecns",1101,,,6101,7102,"complete",0.23252889269722687,0.90625,0.06781605484745885
"malecns-a1101-gx-cx-t6101-l7103","malecns-a1101-gx-cx","malecns",1101,,,6101,7103,"complete",0.2467282192399936,0.9111328125,0.06394570668222524
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",1101,,,6101,7104,"complete",0.24738888901199171,0.914794921875,0.06385243849024794
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",1101,,,6102,7101,"complete",0.23489099440986716,0.910400390625,0.06894327115024898
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",1101,,,6102,7102,"complete",0.23354941701392967,0.90673828125,0.0725124880289407
"malecns-a1101-gx-cx-t6102-l7103","malecns-a1101-gx-cx","malecns",1101,,,6102,7103,"complete",0.23483514171553535,0.90625,0.06847946695831379
"malecns-a1101-gx-cx-t6102-l7104","malecns-a1101-gx-cx","malecns",1101,,,6102,7104,"complete",0.2342088688055408,0.91015625,0.06837994345949655
"malecns-a1101-gx-cx-t6103-l7101","malecns-a1101-gx-cx","malecns",1101,,,6103,7101,"complete",0.2734081656113414,0.895751953125,0.0747062277194942
"malecns-a1101-gx-cx-t6103-l7102","malecns-a1101-gx-cx","malecns",1101,,,6103,7102,"complete",0.2775454246778146,0.892333984375,0.07303975673288082
"malecns-a1101-gx-cx-t6103-l7103","malecns-a1101-gx-cx","malecns",1101,,,6103,7103,"complete",0.27518918046802504,0.89892578125,0.07849624512150707
"malecns-a1101-gx-cx-t6103-l7104","malecns-a1101-gx-cx","malecns",1101,,,6103,7104,"complete",0.2752392558159494,0.895263671875,0.07474709220200934
